시도,성별,전체,19세이하,20대,30대,40대,50대,60대,70대,80세이상
계,합계,165.22,170.04,167.90,169.20,168.09,164.86,161.73,159.04,155.80
계,남자,171.56,174.23,174.19,174.55,173.87,171.14,168.29,165.81,163.76
계,여자,158.37,161.86,161.83,161.91,160.93,158.30,155.57,152.85,149.29
서울특별시,합계,165.22,168.88,167.19,168.81,168.12,164.98,161.54,159.11,156.84
서울특별시,남자,171.94,174.76,174.97,175.22,174.35,171.58,168.34,165.85,164.03
서울특별시,여자,159.05,161.92,162.17,162.41,161.46,158.66,155.72,153.19,150.11
부산광역시,합계,165.04,170.72,167.41,168.89,168.25,165.07,161.79,159.46,157.33
부산광역시,남자,171.56,174.15,174.30,174.57,174.12,171.53,168.57,166.17,164.53
부산광역시,여자,158.45,160.67,161.68,161.84,161.16,158.68,155.89,153.37,150.56
대구광역시,합계,165.00,171.71,167.63,169.23,168.06,164.65,161.69,158.93,156.59
대구광역시,남자,171.52,174.41,174.21,174.61,173.97,171.15,168.32,165.85,164.33
대구광역시,여자,158.27,160.80,161.66,161.74,160.95,158.32,155.72,153.07,150.20
인천광역시,합계,165.29,169.68,167.83,169.15,168.11,164.64,161.62,159.03,156.00
인천광역시,남자,171.61,173.75,174.30,174.62,173.88,171.04,168.11,165.63,163.68
인천광역시,여자,158.46,162.56,161.90,161.93,160.91,158.05,155.38,152.76,149.59
광주광역시,합계,165.21,168.85,167.50,168.79,167.49,164.75,162.07,159.24,156.95
광주광역시,남자,171.71,173.51,174.26,174.60,173.59,171.08,168.70,166.21,164.51
광주광역시,여자,158.68,162.30,161.74,161.67,160.62,158.49,156.11,153.37,150.25
대전광역시,합계,165.41,170.56,167.68,169.37,167.94,164.97,161.83,159.03,156.26
대전광역시,남자,171.90,174.49,174.67,174.98,173.97,171.31,168.42,165.91,163.94
대전광역시,여자,158.69,161.84,161.82,161.92,161.00,158.49,155.74,152.97,149.52
울산광역시,합계,166.55,171.08,169.03,170.18,168.91,165.87,162.97,159.95,156.83
울산광역시,남자,172.02,174.13,174.17,174.34,173.89,171.40,168.84,166.32,164.52
울산광역시,여자,158.79,162.61,161.83,161.88,161.09,158.57,155.98,153.25,150.22
세종특별자치시,합계,166.45,168.92,167.71,169.41,168.33,165.71,162.32,159.17,155.17
세종특별자치시,남자,172.54,172.32,174.28,174.93,174.26,171.44,168.66,165.92,163.42
세종특별자치시,여자,159.34,161.51,161.74,162.00,161.11,158.63,155.80,152.69,148.40
경기도,합계,165.59,169.46,168.06,169.29,168.18,164.85,161.77,159.15,156.38
경기도,남자,171.78,174.21,174.11,174.49,173.91,171.16,168.20,165.76,163.86
경기도,여자,158.63,161.85,161.86,161.89,160.90,158.24,155.51,152.92,149.68
강원특별자치도,합계,164.44,170.21,168.69,169.66,167.85,164.34,161.16,158.57,155.15
강원특별자치도,남자,170.93,174.05,174.54,174.75,173.72,170.68,167.83,165.34,163.18
강원특별자치도,여자,157.34,161.99,161.71,161.75,160.64,157.79,154.99,152.22,148.72
충청북도,합계,164.86,169.97,168.47,169.62,167.71,164.21,161.22,158.47,154.40
충청북도,남자,171.07,173.92,173.74,174.19,173.34,170.47,167.73,165.32,162.81
충청북도,여자,157.55,162.10,161.58,161.55,160.38,157.64,154.92,152.02,147.95
충청남도,합계,165.08,169.64,168.50,169.67,168.24,164.77,161.46,158.41,154.22
충청남도,남자,171.14,174.50,173.61,174.00,173.38,170.62,168.01,165.36,162.83
충청남도,여자,157.36,161.47,161.33,161.36,160.30,157.83,155.09,151.99,147.79
전북특별자치도,합계,164.16,172.32,167.97,168.93,167.52,164.35,161.42,158.46,154.37
전북특별자치도,남자,170.77,174.82,174.10,174.38,173.44,170.61,168.13,165.50,163.17
전북특별자치도,여자,157.31,162.62,161.63,161.48,160.46,157.91,155.31,152.21,148.02
전라남도,합계,164.34,170.03,168.32,169.17,167.77,165.05,162.02,158.99,154.48
전라남도,남자,170.79,173.95,173.83,174.07,173.32,170.89,168.58,166.16,163.56
전라남도,여자,157.11,162.66,161.51,161.42,160.44,158.21,155.58,152.62,148.63
경상북도,합계,164.67,170.96,168.64,169.60,168.12,164.81,161.71,158.74,154.68
경상북도,남자,170.99,173.97,173.75,174.16,173.60,170.92,168.25,165.69,163.49
경상북도,여자,157.30,161.74,161.55,161.46,160.58,158.08,155.41,152.36,148.69
경상남도,합계,165.38,171.08,168.38,169.29,168.19,165.17,162.23,159.42,155.43
경상남도,남자,171.39,174.05,173.47,173.83,173.65,171.13,168.60,166.17,163.86
경상남도,여자,158.22,161.42,161.65,161.56,160.89,158.53,155.91,153.05,149.21
제주특별자치도,합계,164.54,167.89,167.05,168.18,167.23,164.18,161.35,158.91,155.68
제주특별자치도,남자,171.28,174.32,173.90,174.24,173.54,170.78,168.26,165.90,163.77
제주특별자치도,여자,158.10,162.39,161.25,161.41,160.57,157.83,155.38,152.92,149.72
