연령,성별,계,75cm미만,75-79,80-84,85-89,90-94,95-99,100-104,105-109,110cm이상
계,합계,17504300,5153493,2420801,3258551,2853900,1903641,1035640,486881,214417,176976
계,남자,9092955,934743,1100423,2000852,2062247,1466148,819380,390519,173274,145369
계,여자,8411345,4218750,1320378,1257699,791653,437493,216260,96362,41143,31607
19세이하,합계,8654,4285,1167,1056,715,487,358,248,137,201
19세이하,남자,5725,2165,854,857,587,417,316,221,126,182
19세이하,여자,2929,2120,313,199,128,70,42,27,11,19
20~24세,합계,544683,311732,68276,61265,40309,25030,15821,9637,5597,7016
20~24세,남자,232371,71966,40320,41985,29481,18620,12036,7602,4499,5862
20~24세,여자,312312,239766,27956,19280,10828,6410,3785,2035,1098,1154
25~29세,합계,1204258,552838,161498,172707,126424,79323,48853,28355,15939,18321
25~29세,남자,626992,120910,107285,134528,104365,66101,40823,23831,13455,15694
25~29세,여자,577266,431928,54213,38179,22059,13222,8030,4524,2484,2627
30~34세,합계,1634154,595554,211500,261593,216567,146534,90764,51792,28371,31479
30~34세,남자,923367,112048,131091,200974,180687,124832,77508,44466,24458,27303
30~34세,여자,710787,483506,80409,60619,35880,21702,13256,7326,3913,4176
35~39세,합계,1297671,387608,156448,213852,197894,143812,91169,51527,27094,28267
35~39세,남자,771715,65412,87804,158583,163988,123449,79055,45012,23674,24738
35~39세,여자,525956,322196,68644,55269,33906,20363,12114,6515,3420,3529
40~44세,합계,1998271,612172,244553,332811,310498,224569,135810,72089,34991,30778
40~44세,남자,1102916,84681,117206,229238,249326,188682,115805,61749,29954,26275
40~44세,여자,895355,527491,127347,103573,61172,35887,20005,10340,5037,4503
45~49세,합계,1608569,471594,210361,287489,264744,182364,103055,50033,21897,17032
45~49세,남자,894022,71205,99719,195577,211099,153366,87815,42389,18588,14264
45~49세,여자,714547,400389,110642,91912,53645,28998,15240,7644,3309,2768
50~54세,합계,2173226,649708,307482,407629,359216,235012,123162,54664,21711,14642
50~54세,남자,1122442,95034,130167,257866,273296,190612,101324,44882,17591,11670
50~54세,여자,1050784,554674,177315,149763,85920,44400,21838,9782,4120,2972
55~59세,합계,1752022,470150,268129,357884,306739,193103,95091,38401,14363,8162
55~59세,남자,882130,77464,104607,208061,219922,149534,75221,30247,11028,6046
55~59세,여자,869892,392686,163522,149823,86817,43569,19870,8154,3335,2116
60~64세,합계,1974512,484290,311700,426142,360011,223298,106375,41337,14209,7150
60~64세,남자,951131,86276,111927,225208,239265,162776,79856,30769,10214,4840
60~64세,여자,1023381,398014,199773,200934,120746,60522,26519,10568,3995,2310
65~69세,합계,1284626,267622,197159,286564,250368,160543,77880,29511,10146,4833
65~69세,남자,626942,55485,70090,143927,157579,112014,56251,21350,7083,3163
65~69세,여자,657684,212137,127069,142637,92789,48529,21629,8161,3063,1670
70~74세,합계,1083931,190388,156974,244390,224011,149560,74376,29407,10073,4752
70~74세,남자,515579,46259,54174,113363,128717,94972,49189,19511,6570,2824
70~74세,여자,568352,144129,102800,131027,95294,54588,25187,9896,3503,1928
75~79세,합계,475537,75365,64464,104820,100948,71118,36534,15074,5058,2156
75~79세,남자,228808,21714,23187,47843,55713,43040,23137,9720,3177,1277
75~79세,여자,246729,53651,41277,56977,45235,28078,13397,5354,1881,879
80~84세,합계,356715,57027,46226,77588,75295,54660,28746,11617,3828,1728
80~84세,남자,164346,17843,16857,33607,38567,30280,16901,6999,2303,989
80~84세,여자,192369,39184,29369,43981,36728,24380,11845,4618,1525,739
85세이상,합계,107471,23160,14864,22761,20161,14228,7646,3189,1003,459
85세이상,남자,44469,6281,5135,9235,9655,7453,4143,1771,554,242
85세이상,여자,63002,16879,9729,13526,10506,6775,3503,1418,449,217
