연령,성별,계,50미만,50-99,100-149,150-199,200-299,300-399,400-499,500이상
계,합계,6013843,394970,2364528,1650523,791860,555064,152057,50957,53884
계,남자,3306460,163829,1105848,921943,506900,398479,120289,42388,46784
계,여자,2707383,231141,1258680,728580,284960,156585,31768,8569,7100
19세이하,합계,0,0,0,0,0,0,0,0,0
19세이하,남자,0,0,0,0,0,0,0,0,0
19세이하,여자,0,0,0,0,0,0,0,0,0
20~24세,합계,106554,12448,50535,24677,9862,6414,1573,478,567
20~24세,남자,106554,12448,50535,24677,9862,6414,1573,478,567
20~24세,여자,0,0,0,0,0,0,0,0,0
25~29세,합계,196542,17037,83550,48981,22341,16286,4676,1622,2049
25~29세,남자,196542,17037,83550,48981,22341,16286,4676,1622,2049
25~29세,여자,0,0,0,0,0,0,0,0,0
30~34세,합계,233705,14983,86280,60549,32007,25287,7884,2904,3811
30~34세,남자,233705,14983,86280,60549,32007,25287,7884,2904,3811
30~34세,여자,0,0,0,0,0,0,0,0,0
35~39세,합계,213470,9798,67686,56584,33048,28469,9642,3636,4607
35~39세,남자,213470,9798,67686,56584,33048,28469,9642,3636,4607
35~39세,여자,0,0,0,0,0,0,0,0,0
40~44세,합계,1038866,83381,411724,249037,128752,105153,33576,12660,14583
40~44세,남자,542025,19557,146888,145534,92787,84411,28699,11154,12995
40~44세,여자,496841,63824,264836,103503,35965,20742,4877,1506,1588
45~49세,합계,552937,37007,209936,140680,74097,58909,18436,6622,7250
45~49세,남자,279450,8409,71819,76417,50252,45234,15362,5642,6315
45~49세,여자,273487,28598,138117,64263,23845,13675,3074,980,935
50~54세,합계,592682,37652,221518,158961,81781,62067,18170,6120,6413
50~54세,남자,295219,9712,79691,83421,52446,45018,14386,5062,5483
50~54세,여자,297463,27940,141827,75540,29335,17049,3784,1058,930
55~59세,합계,604265,37372,228045,168398,83840,59770,16278,5287,5275
55~59세,남자,287267,10507,84838,82711,49043,39744,12005,4157,4262
55~59세,여자,316998,26865,143207,85687,34797,20026,4273,1130,1013
60~64세,합계,1119537,70161,440859,323490,150872,97253,23606,7120,6176
60~64세,남자,526186,24934,178017,155054,82670,59624,16033,5129,4725
60~64세,여자,593351,45227,262842,168436,68202,37629,7573,1991,1451
65~69세,합계,484641,29665,199069,145189,62861,36638,7634,2050,1535
65~69세,남자,225707,12803,86000,67429,32047,20322,4680,1336,1090
65~69세,여자,258934,16862,113069,77760,30814,16316,2954,714,445
70~74세,합계,365024,21110,152140,112140,47139,25740,4816,1127,812
70~74세,남자,169745,10115,69006,50884,22630,13228,2722,656,504
70~74세,여자,195279,10995,83134,61256,24509,12512,2094,471,308
75~79세,합계,250009,13425,106163,78277,31690,16393,2961,690,410
75~79세,남자,116557,7081,49939,35256,14408,7791,1497,364,221
75~79세,여자,133452,6344,56224,43021,17282,8602,1464,326,189
80~84세,합계,214611,9520,90190,69555,28024,14063,2381,552,326
80~84세,남자,97950,5608,44032,29496,11594,5850,1001,229,140
80~84세,여자,116661,3912,46158,40059,16430,8213,1380,323,186
85세이상,합계,41000,1411,16833,14005,5546,2622,424,89,70
85세이상,남자,16083,837,7567,4950,1765,801,129,19,15
85세이상,여자,24917,574,9266,9055,3781,1821,295,70,55
