연령,성별,계,30이하,31-40,41-50,51-60,61-70,71-80,81-90,91-100,101이상
계,합계,17516816,13597099,2402713,745997,314192,159766,90472,56078,36652,113847
계,남자,9093184,6574844,1500941,495568,212211,108427,61387,37919,24736,77151
계,여자,8423632,7022255,901772,250429,101981,51339,29085,18159,11916,36696
19세이하,합계,8654,7686,522,166,89,54,33,16,19,69
19세이하,남자,5724,4894,454,137,78,43,27,15,18,58
19세이하,여자,2930,2792,68,29,11,11,6,1,1,11
20~24세,합계,544704,488488,30116,10376,5093,2956,1792,1212,952,3719
20~24세,남자,232351,191884,21727,7548,3644,2111,1291,838,662,2646
20~24세,여자,312353,296604,8389,2828,1449,845,501,374,290,1073
25~29세,합계,1205378,1043672,89704,30277,14092,7975,4855,3377,2244,9182
25~29세,남자,626984,499074,71656,24152,11092,6151,3757,2590,1672,6840
25~29세,여자,578394,544598,18048,6125,3000,1824,1098,787,572,2342
30~34세,합계,1640823,1371243,151636,51785,23800,13093,7916,5163,3468,12719
30~34세,남자,923370,702478,124694,42872,19568,10733,6382,4094,2725,9824
30~34세,여자,717453,668765,26942,8913,4232,2360,1534,1069,743,2895
35~39세,합계,1300964,1059356,138523,47562,21765,11369,6606,4120,2791,8872
35~39세,남자,771715,569420,116272,40278,18384,9533,5445,3352,2198,6833
35~39세,여자,529249,489936,22251,7284,3381,1836,1161,768,593,2039
40~44세,합계,1998877,1599499,230164,79354,35729,18558,10708,6678,4402,13785
40~44세,남자,1102936,787143,181254,63904,28835,14808,8498,5182,3374,9938
40~44세,여자,895941,812356,48910,15450,6894,3750,2210,1496,1028,3847
45~49세,합계,1608637,1277833,196836,64973,27971,14416,8176,5001,3323,10108
45~49세,남자,894066,641105,149297,50847,21879,11169,6324,3742,2454,7249
45~49세,여자,714571,636728,47539,14126,6092,3247,1852,1259,869,2859
50~54세,합계,2173257,1663750,311908,97862,41438,20740,11778,7248,4622,13911
50~54세,남자,1122456,793954,196125,65600,27911,13962,7885,4837,3070,9112
50~54세,여자,1050801,869796,115783,32262,13527,6778,3893,2411,1552,4799
55~59세,합계,1752068,1305214,282551,83586,33997,17089,9418,5642,3762,10809
55~59세,남자,882163,627382,155789,49686,20514,10419,5755,3431,2327,6860
55~59세,여자,869905,677832,126762,33900,13483,6670,3663,2211,1435,3949
60~64세,합계,1974568,1415143,355285,105154,42641,20815,11416,6973,4505,12636
60~64세,남자,951167,655989,180184,57996,24043,11947,6546,4096,2679,7687
60~64세,여자,1023401,759154,175101,47158,18598,8868,4870,2877,1826,4949
65~69세,합계,1284656,910017,241281,70200,27577,13313,7296,4486,2753,7733
65~69세,남자,626970,430529,122117,38551,15524,7451,4063,2562,1577,4596
65~69세,여자,657686,479488,119164,31649,12053,5862,3233,1924,1176,3137
70~74세,합계,1083978,758903,209320,61275,23925,11832,6395,3826,2288,6214
70~74세,남자,515608,352665,102107,32014,12540,6221,3402,2027,1196,3436
70~74세,여자,568370,406238,107213,29261,11385,5611,2993,1799,1092,2778
75~79세,합계,475565,342708,88265,24209,9182,4323,2342,1377,889,2270
75~79세,남자,228799,162436,43363,12496,4759,2250,1134,692,460,1209
75~79세,여자,246766,180272,44902,11713,4423,2073,1208,685,429,1061
80~84세,합계,356867,268032,60946,15466,5609,2638,1426,792,517,1441
80~84세,남자,164367,121457,28893,7732,2845,1341,735,402,269,693
80~84세,여자,192500,146575,32053,7734,2764,1297,691,390,248,748
85세이상,합계,107820,85555,15656,3752,1284,595,315,167,117,379
85세이상,남자,44508,34434,7009,1755,595,288,143,59,55,170
85세이상,여자,63312,51121,8647,1997,689,307,172,108,62,209
