연령,성별,계,8미만,8-10,11-35,36-45,46-63,64-77,78-99,100이상
계,합계,17511657,140541,962597,11845150,1439710,1317241,535076,471749,799593
계,남자,9089030,12205,102860,5399651,1062250,1024837,430911,386585,669731
계,여자,8422627,128336,859737,6445499,377460,292404,104165,85164,129862
19세이하,합계,8654,88,635,7109,372,264,71,58,57
19세이하,남자,5724,14,169,4804,323,246,64,51,53
19세이하,여자,2930,74,466,2305,49,18,7,7,4
20~24세,합계,544695,10186,67428,410647,22041,17303,6323,4838,5929
20~24세,남자,232345,650,6431,180861,16880,13697,5068,3940,4818
20~24세,여자,312350,9536,60997,229786,5161,3606,1255,898,1111
25~29세,합계,1205322,19158,121981,861713,68854,60761,23879,20122,28854
25~29세,남자,626945,1244,12974,440536,56516,51639,20726,17707,25603
25~29세,여자,578377,17914,109007,421177,12338,9122,3153,2415,3251
30~34세,합계,1640644,23396,145431,1095312,115509,109674,46007,41126,64189
30~34세,남자,923252,1421,14778,580100,96603,94890,40689,36928,57843
30~34세,여자,717392,21975,130653,515212,18906,14784,5318,4198,6346
35~39세,합계,1300729,14994,92684,818693,108142,107688,46322,42314,69892
35~39세,남자,771548,847,8833,434715,90609,93764,41327,38096,63357
35~39세,여자,529181,14147,83851,383978,17533,13924,4995,4218,6535
40~44세,합계,1998211,19633,128457,1232485,172440,173771,76384,70450,124591
40~44세,남자,1102442,1106,9134,570432,137549,145960,66182,61929,110150
40~44세,여자,895769,18527,119323,662053,34891,27811,10202,8521,14441
45~49세,합계,1607976,13334,91628,986268,146692,146162,62948,57787,103157
45~49세,남자,893555,759,6072,455768,116021,121200,53804,49928,90003
45~49세,여자,714421,12575,85556,530500,30671,24962,9144,7859,13154
50~54세,합계,2172342,12664,94011,1381983,203240,195696,81942,73673,129133
50~54세,남자,1121724,1040,7560,589605,146753,148812,64064,58738,105152
50~54세,여자,1050618,11624,86451,792378,56487,46884,17878,14935,23981
55~59세,합계,1751356,5823,51564,1175802,165405,150359,60191,52665,89547
55~59세,남자,881542,829,6357,496189,113064,108625,45327,40151,71000
55~59세,여자,869814,4994,45207,679613,52341,41734,14864,12514,18547
60~64세,합계,1973819,6662,56601,1389214,177341,152146,58204,49349,84302
60~64세,남자,950507,1114,7925,570077,117938,107376,42586,36848,66643
60~64세,여자,1023312,5548,48676,819137,59403,44770,15618,12501,17659
65~69세,합계,1284206,4596,37634,938479,109512,88850,32689,26920,45526
65~69세,남자,626580,951,6410,403510,73610,62541,23772,19918,35868
65~69세,여자,657626,3645,31224,534969,35902,26309,8917,7002,9658
70~74세,합계,1083668,4217,34291,817267,86020,66836,23511,19206,32320
70~74세,남자,515351,971,6882,352205,56075,45143,16289,13608,24178
70~74세,여자,568317,3246,27409,465062,29945,21693,7222,5598,8142
75~79세,합계,475461,2252,16915,367833,34569,25924,9010,7156,11802
75~79세,남자,228717,520,4004,165189,22273,17300,6136,4902,8393
75~79세,여자,246744,1732,12911,202644,12296,8624,2874,2254,3409
80~84세,합계,356770,2168,15708,278972,23609,17342,6044,4794,8133
80~84세,남자,164301,495,3757,121975,14607,11010,3946,3086,5425
80~84세,여자,192469,1673,11951,156997,9002,6332,2098,1708,2708
85세이상,합계,107804,1370,7629,83373,5964,4465,1551,1291,2161
85세이상,남자,44497,244,1574,33685,3429,2634,931,755,1245
85세이상,여자,63307,1126,6055,49688,2535,1831,620,536,916
