연령,성별,계,100미만,100-109,110-125,126-139,140-159,160-179,180-199,200이상
계,합계,17516657,10524597,3633287,1978663,608266,378503,159648,80292,153401
계,남자,9093069,4846543,2107557,1226060,390355,251056,107961,55307,108230
계,여자,8423588,5678054,1525730,752603,217911,127447,51687,24985,45171
19세이하,합계,8654,7279,1074,226,28,12,6,6,23
19세이하,남자,5724,4777,741,156,21,10,4,2,13
19세이하,여자,2930,2502,333,70,7,2,2,4,10
20~24세,합계,544697,472830,57308,10366,1550,837,398,289,1119
20~24세,남자,232348,192849,31339,5982,870,471,200,127,510
20~24세,여자,312349,279981,25969,4384,680,366,198,162,609
25~29세,합계,1205373,998702,159999,33728,4728,2684,1265,849,3418
25~29세,남자,626978,490425,105239,23141,3052,1723,782,513,2103
25~29세,여자,578395,508277,54760,10587,1676,961,483,336,1315
30~34세,합계,1640810,1272275,268624,70415,10715,6328,3006,1909,7538
30~34세,남자,923361,661601,188670,52089,7655,4490,2071,1378,5407
30~34세,여자,717449,610674,79954,18326,3060,1838,935,531,2131
35~39세,합계,1300960,921867,252235,84746,15982,9494,4574,2737,9325
35~39세,남자,771711,493359,180759,65183,12300,7310,3450,2122,7228
35~39세,여자,529249,428508,71476,19563,3682,2184,1124,615,2097
40~44세,합계,1998862,1322168,410248,170944,38637,23417,10519,6158,16771
40~44세,남자,1102925,632261,272218,125519,29255,17866,8121,4793,12892
40~44세,여자,895937,689907,138030,45425,9382,5551,2398,1365,3879
45~49세,합계,1608615,970999,352358,175724,46335,28185,12374,6965,15675
45~49세,남자,894046,454362,228130,127378,35073,21777,9617,5489,12220
45~49세,여자,714569,516637,124228,48346,11262,6408,2757,1476,3455
50~54세,합계,2173240,1219350,490204,277291,81499,50127,21475,11066,22228
50~54세,남자,1122445,517645,284218,184147,58164,37045,16125,8357,16744
50~54세,여자,1050795,701705,205986,93144,23335,13082,5350,2709,5484
55~59세,합계,1752049,889679,413368,261599,82919,51725,21724,11045,19990
55~59세,남자,882154,372889,220541,159484,55045,36091,15618,7957,14529
55~59세,여자,869895,516790,192827,102115,27874,15634,6106,3088,5461
60~64세,합계,1974548,952466,464344,317676,109084,67652,28168,13520,21638
60~64세,남자,951151,387215,228665,179840,67640,44202,19093,9365,15131
60~64세,여자,1023397,565251,235679,137836,41444,23450,9075,4155,6507
65~69세,합계,1284642,601351,298929,215207,77685,48875,19930,9179,13486
65~69세,남자,626958,251937,147257,120764,47343,31322,13075,6086,9174
65~69세,여자,657684,349414,151672,94443,30342,17553,6855,3093,4312
70~74세,합계,1083958,484177,249702,191160,73413,46839,18735,8613,11319
70~74세,남자,515595,207225,118509,99072,40755,27094,11006,5100,6834
70~74세,여자,568363,276952,131193,92088,32658,19745,7729,3513,4485
75~79세,합계,475563,207785,109510,85883,33380,21410,8683,3861,5051
75~79세,남자,228797,92911,52835,43995,17841,11678,4671,2098,2768
75~79세,여자,246766,114874,56675,41888,15539,9732,4012,1763,2283
80~84세,합계,356865,154533,81587,65106,25240,16267,6775,3080,4277
80~84세,남자,164367,67611,37998,31386,12336,8053,3356,1526,2101
80~84세,여자,192498,86922,43589,33720,12904,8214,3419,1554,2176
85세이상,합계,107821,49136,23797,18592,7071,4651,2016,1015,1543
85세이상,남자,44509,19476,10438,7924,3005,1924,772,394,576
85세이상,여자,63312,29660,13359,10668,4066,2727,1244,621,967
