연령,성별,계,30미만,30-39,40-49,50-59,60-69,70-79,80-89,90이상
계,합계,6013854,39495,528148,1477568,1652725,1184921,652947,297093,180957
계,남자,3306467,31646,418707,1043321,947482,523303,220695,80344,40969
계,여자,2707387,7849,109441,434247,705243,661618,432252,216749,139988
19세이하,합계,0,0,0,0,0,0,0,0,0
19세이하,남자,0,0,0,0,0,0,0,0,0
19세이하,여자,0,0,0,0,0,0,0,0,0
20~24세,합계,106554,509,9161,30249,34453,20460,8174,2557,991
20~24세,남자,106554,509,9161,30249,34453,20460,8174,2557,991
20~24세,여자,0,0,0,0,0,0,0,0,0
25~29세,합계,196541,1156,18390,56178,60792,36847,15580,5277,2321
25~29세,남자,196541,1156,18390,56178,60792,36847,15580,5277,2321
25~29세,여자,0,0,0,0,0,0,0,0,0
30~34세,합계,233708,1596,25261,71249,69728,40302,16934,5946,2692
30~34세,남자,233708,1596,25261,71249,69728,40302,16934,5946,2692
30~34세,여자,0,0,0,0,0,0,0,0,0
35~39세,합계,213470,1769,27083,69520,61902,32928,13367,4627,2274
35~39세,남자,213470,1769,27083,69520,61902,32928,13367,4627,2274
35~39세,여자,0,0,0,0,0,0,0,0,0
40~44세,합계,1038866,4982,83411,238686,270019,211044,129216,62542,38966
40~44세,남자,542025,4335,70502,178013,154381,81625,34125,12476,6568
40~44세,여자,496841,647,12909,60673,115638,129419,95091,50066,32398
45~49세,합계,552938,2622,42403,125422,143885,111823,69025,34871,22887
45~49세,남자,279451,2248,35431,91211,79812,42392,18027,6719,3611
45~49세,여자,273487,374,6972,34211,64073,69431,50998,28152,19276
50~54세,합계,592687,2814,43739,131337,155056,120626,74524,37844,26747
50~54세,남자,295223,2397,36256,94797,85103,46060,19335,7286,3989
50~54세,여자,297464,417,7483,36540,69953,74566,55189,30558,22758
55~59세,합계,604266,3032,45545,138891,163799,124374,71955,34418,22252
55~59세,남자,287268,2462,35500,92367,82318,44789,19078,7001,3753
55~59세,여자,316998,570,10045,46524,81481,79585,52877,27417,18499
60~64세,합계,1119537,6351,90716,266164,313643,228526,125042,55642,33453
60~64세,남자,526185,4915,66722,164775,149832,83344,36011,13332,7254
60~64세,여자,593352,1436,23994,101389,163811,145182,89031,42310,26199
65~69세,합계,484641,3810,44142,119513,136467,96831,50399,21491,11988
65~69세,남자,225707,2903,31308,70269,62316,35329,14988,5659,2935
65~69세,여자,258934,907,12834,49244,74151,61502,35411,15832,9053
70~74세,합계,365024,3368,36632,93613,103432,70246,35374,14599,7760
70~74세,남자,169745,2520,25120,53003,46498,25584,10843,4119,2058
70~74세,여자,195279,848,11512,40610,56934,44662,24531,10480,5702
75~79세,합계,250009,2889,27942,65856,70002,46548,22767,9360,4645
75~79세,남자,116557,2110,18443,36259,31147,17207,7269,2789,1333
75~79세,여자,133452,779,9499,29597,38855,29341,15498,6571,3312
80~84세,합계,214612,3374,27101,59058,59012,37999,17689,6876,3503
80~84세,남자,97950,2198,16633,30476,25225,14169,5991,2230,1028
80~84세,여자,116662,1176,10468,28582,33787,23830,11698,4646,2475
85세이상,합계,41001,1223,6622,11832,10535,6367,2901,1043,478
85세이상,남자,16083,528,2897,4955,3975,2267,973,326,162
85세이상,여자,24918,695,3725,6877,6560,4100,1928,717,316
