연령,성별,계,30미만,30-39,40-49,50-59,60-79,80-99,100-149,150이상
계,합계,17507116,40111,49193,130114,381707,2997974,6983354,6908962,15701
계,남자,9088489,23630,26814,71990,207235,1717900,3862470,3171933,6517
계,여자,8418627,16481,22379,58124,174472,1280074,3120884,3737029,9184
19세이하,합계,8650,0,0,1,1,57,1114,7364,113
19세이하,남자,5720,0,0,1,1,47,755,4857,59
19세이하,여자,2930,0,0,0,0,10,359,2507,54
20~24세,합계,544353,58,15,45,193,11744,81632,448401,2265
20~24세,남자,232174,32,7,22,94,6421,49389,175511,698
20~24세,여자,312179,26,8,23,99,5323,32243,272890,1567
25~29세,합계,1204762,169,72,100,452,36850,211978,953120,2021
25~29세,남자,626686,93,42,52,317,20172,143435,462056,519
25~29세,여자,578076,76,30,48,135,16678,68543,491064,1502
30~34세,합계,1640094,356,161,287,1429,87829,519128,1028502,2402
30~34세,남자,923029,206,92,185,884,65693,325602,529756,611
30~34세,여자,717065,150,69,102,545,22136,193526,498746,1791
35~39세,합계,1300405,551,227,431,2312,89628,432504,773953,799
35~39세,남자,771450,335,164,277,1715,72792,291001,404666,500
35~39세,여자,528955,216,63,154,597,16836,141503,369287,299
40~44세,합계,1998131,1347,678,1218,4698,194479,620377,1174328,1006
40~44세,남자,1102541,882,440,899,3224,113634,417662,565174,626
40~44세,여자,895590,465,238,319,1474,80845,202715,609154,380
45~49세,합계,1607951,1597,736,1673,11385,227943,451189,912604,824
45~49세,남자,893722,1087,495,1052,8141,146898,298856,436709,484
45~49세,여자,714229,510,241,621,3244,81045,152333,475895,340
50~54세,합계,2172197,2943,1572,4129,22935,386932,928592,823996,1098
50~54세,남자,1121961,1881,1002,2876,13409,252840,526898,322444,611
50~54세,여자,1050236,1062,570,1253,9526,134092,401694,501552,487
55~59세,합계,1751078,3019,1844,5090,22878,308807,955584,453008,848
55~59세,남자,881718,1968,1164,3066,14525,192956,530513,137069,457
55~59세,여자,869360,1051,680,2024,8353,115851,425071,315939,391
60~64세,합계,1973236,4885,3739,13880,56965,521265,1145661,225711,1130
60~64세,남자,950550,2977,2431,8686,36485,252055,550804,96578,534
60~64세,여자,1022686,1908,1308,5194,20480,269210,594857,129133,596
65~69세,합계,1283600,4740,4543,13907,62675,436312,684803,75623,997
65~69세,남자,626443,2976,2751,9007,29835,240102,319281,22027,464
65~69세,여자,657157,1764,1792,4900,32840,196210,365522,53596,533
70~74세,합계,1083169,6442,8847,26932,72305,370939,571712,24815,1177
70~74세,남자,515193,3870,5817,15870,36322,192212,247720,12878,504
70~74세,여자,567976,2572,3030,11062,35983,178727,323992,11937,673
75~79세,합계,475221,4683,8233,23506,46311,154865,231322,5759,542
75~79세,남자,228626,2833,3918,12299,29802,74152,103983,1399,240
75~79세,여자,246595,1850,4315,11207,16509,80713,127339,4360,302
80~84세,합계,356547,5872,11865,25113,56259,126259,129399,1396,384
80~84세,남자,164212,3052,5796,11267,25156,68140,49910,735,156
80~84세,여자,192335,2820,6069,13846,31103,58119,79489,661,228
85세이상,합계,107722,3449,6661,13802,20909,44065,18359,382,95
85세이상,남자,44464,1438,2695,6431,7325,19786,6661,74,54
85세이상,여자,63258,2011,3966,7371,13584,24279,11698,308,41
