성별,연령,측정수,평균cm,표준편차cm,최소,최대,왜도,첨도,p1,p5,p10,p25,p50,p75,p90,p95,p99
남자,20-24세,343,174.6,5.704,156.9,189.5,0.10,-0.14,162.1,164.9,167.3,170.4,174.5,178.2,182.6,184.4,189.1
남자,25-29세,267,174.1,5.773,160.1,191.2,0.32,-0.06,161.5,165.1,166.7,170.0,173.7,178.1,181.9,184.3,189.5
남자,30-34세,237,174.6,5.833,159.4,191.0,-0.03,0.12,160.4,163.9,167.2,171.1,174.7,178.1,182.8,184.2,187.8
남자,35-39세,256,175.1,5.348,160.3,191.0,-0.07,-0.03,161.6,166.3,168.6,171.1,175.2,178.8,181.8,183.5,187.3
남자,40-44세,223,173.8,5.286,158.4,188.7,-0.21,0.35,158.9,164.0,166.8,170.8,173.9,177.2,180.1,182.3,186.6
남자,45-49세,241,172.5,5.068,154.8,190.2,-0.12,0.69,160.0,163.4,166.0,169.1,172.5,176.0,178.8,180.4,185.3
남자,50-54세,144,171.2,5.003,156.4,182.7,-0.14,-0.04,157.6,162.7,164.7,167.8,171.0,174.7,177.6,179.3,182.7
남자,55-59세,146,169.7,5.899,152.5,184.0,0.08,-0.02,153.5,160.7,162.1,165.9,169.2,173.5,177.7,179.7,183.9
남자,60-64세,207,169.1,5.397,157.2,187.0,0.25,-0.03,158.1,160.0,162.0,165.4,169.0,173.0,176.3,178.3,183.4
남자,65-69세,255,167.5,5.420,151.5,182.3,0.10,0.07,154.3,159.4,161.0,163.6,167.5,171.3,174.3,176.2,181.9
남자,전체,2319,172.5,6.056,151.5,191.2,0.00,-0.01,158.8,162.5,164.5,168.4,172.6,176.5,180.2,182.8,187.1
여자,20-24세,271,161.1,4.923,144.4,176.1,-0.02,0.13,149.8,153.1,154.6,157.8,161.3,164.4,167.8,169.1,173.2
여자,25-29세,304,161.4,5.276,143.8,177.0,0.17,0.57,147.1,153.3,154.8,158.0,161.0,164.5,168.2,170.5,174.9
여자,30-34세,275,161.8,5.093,148.5,181.0,0.17,0.48,150.6,153.0,154.9,158.4,161.8,165.0,167.7,170.1,177.3
여자,35-39세,380,162.0,4.842,151.1,177.3,0.30,-0.14,152.1,154.1,156.1,158.4,161.8,165.1,168.2,170.5,174.9
여자,40-44세,352,161.1,5.079,148.1,174.5,0.27,-0.20,151.0,153.1,154.3,157.7,160.7,164.5,167.6,170.3,173.6
여자,45-49세,225,159.8,5.265,140.2,174.0,-0.37,0.89,142.1,151.3,153.5,156.5,159.7,163.5,166.1,168.5,170.9
여자,50-54세,270,158.4,5.136,140.4,174.5,0.21,0.76,145.5,150.4,152.0,155.1,158.0,161.4,164.7,167.7,173.8
여자,55-59세,230,156.8,4.535,144.0,173.0,0.31,0.67,145.6,149.6,151.3,154.0,156.5,159.5,162.7,164.5,169.1
여자,60-64세,228,155.9,4.534,143.5,168.3,-0.05,-0.11,145.3,148.3,149.8,153.0,156.2,159.2,161.3,163.0,168.0
여자,65-69세,238,154.8,4.619,140.0,170.0,0.03,0.36,142.9,147.0,149.0,152.0,154.6,157.6,161.2,162.5,165.6
여자,전체,2773,159.6,5.518,140.0,181.0,0.09,0.18,146.9,151.0,152.8,156.0,159.5,163.3,166.7,168.9,173.3
