항목,성별,연령대,표본수,P10,P20,P40,P50,P60,P80,P90,비고
BMI,남,19세이하,5723,19,20.2,22.6,23.8,25.1,29,33.6,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,19세이하,2930,17.7,19.3,21.4,22.4,23.4,26.4,29.6,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,20~24세,232290,19.1,20.3,22.7,23.9,25.1,28.6,31.8,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,20~24세,312274,17.1,19.1,21,22,23,24.9,28.5,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,25~29세,626802,19.6,20.9,23.5,24.8,26.2,29,32.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,25~29세,577951,18.1,19.4,21.2,22.2,23.1,25,28.6,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,30~34세,923035,19.8,21.3,24.3,25.6,26.9,29.4,33.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,30~34세,715175,18.6,19.5,21.5,22.4,23.4,25.9,29.1,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,35~39세,771493,20,21.6,24.9,26.1,27.2,29.5,33.9,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,35~39세,528021,18.8,19.7,21.7,22.7,23.6,26.7,29.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,40~44세,1102746,19.9,21.5,24.7,25.9,27,29.3,32.7,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,40~44세,895583,18.9,19.8,21.7,22.7,23.7,26.6,29.2,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,45~49세,893962,19.9,21.4,24.3,25.6,26.7,29,30.8,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,45~49세,714506,19,19.9,21.9,22.8,23.8,26.7,29.1,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,50~54세,1122396,19.7,21.1,23.9,25.2,26.3,28.6,29.8,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,50~54세,1050737,19,20,21.9,22.9,23.8,26.7,29,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,55~59세,882086,19.6,20.9,23.5,24.8,26,28.3,29.5,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,55~59세,869857,19.2,20.2,22.1,23.1,24.1,27.1,29,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,60~64세,951102,19.5,20.7,23.1,24.3,25.5,28,29.3,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,60~64세,1023357,19.2,20.2,22.2,23.2,24.2,27.3,29.1,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,65~69세,626911,19.5,20.6,23,24.1,25.3,27.9,29.2,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,65~69세,657664,19.3,20.3,22.5,23.5,24.6,27.6,29.2,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,70~74세,515549,19.4,20.5,22.8,23.9,25,27.7,29.1,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,70~74세,568333,19.4,20.5,22.7,23.9,25,27.9,29.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,75~79세,228794,19.3,20.4,22.6,23.7,24.8,27.5,29,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,75~79세,246721,19.4,20.5,22.8,24,25.2,28,29.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,80~84세,164332,19.2,20.2,22.3,23.3,24.3,27.2,28.8,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,80~84세,192353,19.3,20.4,22.7,23.9,25.1,27.9,29.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,남,85세이상,44465,18.9,19.9,21.8,22.8,23.8,26.4,28.4,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
BMI,여,85세이상,62933,18.6,19.7,21.8,22.9,24,27,28.9,통계연보 Ⅵ-2 구간(18.5/25/30/40) 선형보간
허리둘레,남,19세이하,5725,60.3,65.6,75.7,79.1,82.4,91.4,99.3,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,19세이하,2929,57.8,60.5,66.1,68.8,71.6,78.6,85.2,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,20~24세,232371,61.5,67.9,77.6,80.5,83.2,90.6,97.8,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,20~24세,312312,57.6,60.2,65.4,68,70.6,76.8,83.5,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,25~29세,626992,65.4,75.2,80.8,83.2,85.6,92.6,98.8,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,25~29세,577266,57.7,60.3,65.7,68.4,71,77.8,84.4,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,30~34세,923367,71.5,77.8,83.1,85.5,88,94.6,100.4,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,30~34세,710787,57.9,60.9,66.8,69.7,72.6,80.4,87.1,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,35~39세,771715,75.7,80,84.9,87.3,89.6,96.1,101.8,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,35~39세,525956,58.3,61.5,68.1,71.3,74.6,82.7,89,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,40~44세,1102916,76.1,80.4,85.2,87.4,89.6,95.6,100.6,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,40~44세,895355,58.4,61.8,68.6,72,75.4,83,88.9,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,45~49세,894022,75.9,80.2,84.8,86.9,89,94.5,99.2,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,45~49세,714547,58.6,62.1,69.3,72.8,76.3,83.3,88.7,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,50~54세,1122442,75.7,80,84.3,86.4,88.5,93.7,98.1,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,50~54세,1050784,58.8,62.6,70.2,73.9,77.1,83.6,88.7,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,55~59세,882130,75.5,79.7,84.1,86.2,88.2,93.2,97.3,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,55~59세,869892,59.4,63.9,72.7,76.3,79,84.7,89.4,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,60~64세,951131,75.4,79.6,84,86.1,88.1,93,96.9,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,60~64세,1023381,60.1,65.3,75.3,77.8,80.4,85.8,90.1,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,65~69세,626942,75.5,80,84.3,86.4,88.4,93.3,97.2,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,65~69세,657684,61.2,67.4,77,79.6,81.9,87.4,91.8,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,70~74세,515579,75.5,80.1,84.7,86.7,88.7,93.7,97.7,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,70~74세,568352,62.9,70.8,79,81.4,83.6,89,93.5,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,75~79세,228808,75.3,80.1,84.9,86.9,89,94,98.1,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,75~79세,246729,64.2,73.4,80.3,82.5,84.7,90,94.4,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,80~84세,164346,73.4,79.5,84.6,86.8,88.9,94.1,98.2,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,80~84세,192369,64.8,74.6,81,83.1,85.4,91,94.9,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,남,85세이상,44469,69.2,77.5,83.4,85.8,88.1,93.5,97.7,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
허리둘레,여,85세이상,63002,62.5,69.9,79.3,81.8,84.1,89.9,94.5,통계연보 Ⅵ-4 구간(75~110, 5cm) 선형보간
