시도,성별,전체,19세이하,20대,30대,40대,50대,60대,70대,80세이상
계,합계,67.06,70.30,67.53,71.47,70.25,66.55,63.71,61.76,58.11
계,남자,74.72,75.45,76.81,79.76,78.36,73.89,69.84,66.86,63.53
계,여자,58.78,60.25,58.57,60.19,60.19,58.90,57.96,57.10,53.68
서울특별시,합계,66.11,67.81,65.25,69.26,69.27,66.16,63.09,61.45,59.25
서울특별시,남자,74.67,75.20,76.79,79.33,78.41,74.20,69.75,66.77,63.94
서울특별시,여자,58.25,59.05,57.80,59.17,59.49,58.46,57.38,56.78,54.86
부산광역시,합계,66.50,70.79,66.88,71.08,70.33,66.38,62.94,61.39,59.10
부산광역시,남자,74.43,75.42,77.08,80.03,78.80,74.12,69.28,66.44,63.78
부산광역시,여자,58.50,57.26,58.40,59.98,60.09,58.72,57.42,56.81,54.69
대구광역시,합계,66.23,72.16,66.91,71.48,69.77,65.48,62.72,60.86,58.04
대구광역시,남자,74.10,75.46,76.65,79.92,78.18,73.08,68.82,66.04,63.23
대구광역시,여자,58.12,58.80,58.09,59.72,59.66,58.08,57.23,56.48,53.75
인천광역시,합계,67.62,70.84,67.73,71.92,70.95,66.86,64.02,62.11,58.95
인천광역시,남자,75.24,76.24,77.25,80.24,79.01,74.13,70.02,67.01,63.87
인천광역시,여자,59.39,61.37,59.02,60.90,60.89,59.39,58.26,57.47,54.85
광주광역시,합계,66.75,69.00,67.02,71.11,69.18,66.14,63.77,61.65,59.03
광주광역시,남자,74.72,74.14,76.91,80.03,77.64,73.61,70.14,66.80,63.87
광주광역시,여자,58.76,61.78,58.59,60.17,59.66,58.74,58.05,57.32,54.74
대전광역시,합계,66.90,70.66,67.30,71.62,69.64,66.21,63.40,61.33,58.41
대전광역시,남자,74.77,75.40,77.35,80.11,78.03,73.61,69.57,66.43,63.34
대전광역시,여자,58.74,60.13,58.87,60.38,59.98,58.65,57.70,56.83,54.08
울산광역시,합계,68.68,73.47,69.61,73.46,71.64,67.59,64.53,62.45,58.95
울산광역시,남자,75.35,78.24,77.24,80.02,78.61,73.95,69.94,67.13,64.22
울산광역시,여자,59.21,60.22,58.92,60.37,60.70,59.20,58.08,57.52,54.42
세종특별자치시,합계,67.54,69.89,66.72,70.63,69.32,66.90,63.81,61.61,57.84
세종특별자치시,남자,75.48,70.05,76.45,79.42,77.89,73.80,69.84,66.59,63.51
세종특별자치시,여자,58.27,69.55,57.90,58.83,58.87,58.37,57.61,56.81,53.18
경기도,합계,67.55,69.18,67.58,71.65,70.47,66.70,63.96,62.08,59.11
경기도,남자,75.16,74.85,76.42,79.59,78.53,74.13,70.06,67.14,64.12
경기도,여자,58.98,60.09,58.50,60.33,60.26,58.93,58.02,57.31,54.62
강원특별자치도,합계,67.39,72.23,69.88,73.33,70.93,66.96,64.19,62.37,58.24
강원특별자치도,남자,74.80,77.35,78.47,81.05,78.95,74.19,70.25,67.39,63.81
강원특별자치도,여자,59.29,61.30,59.62,61.35,61.10,59.50,58.58,57.66,53.77
충청북도,합계,67.36,72.32,69.11,72.98,70.44,66.32,63.87,61.70,56.92
충청북도,남자,74.37,78.09,76.58,79.65,77.86,73.19,69.57,66.59,62.41
충청북도,여자,59.10,60.83,59.32,61.18,60.78,59.12,58.34,57.10,52.71
충청남도,합계,67.99,70.15,69.71,73.70,71.42,67.21,64.33,61.78,56.66
충청남도,남자,74.86,75.94,77.03,80.04,78.19,73.75,70.10,66.80,62.50
충청남도,여자,59.25,60.41,59.43,61.52,60.95,59.45,58.71,57.13,52.28
전북특별자치도,합계,66.51,72.63,68.22,71.97,69.86,66.45,64.10,61.69,56.72
전북특별자치도,남자,73.94,74.66,76.94,80.10,77.82,73.54,70.22,66.88,62.83
전북특별자치도,여자,58.80,64.78,59.20,60.83,60.36,59.17,58.54,57.08,52.33
전라남도,합계,67.02,71.48,69.19,72.50,70.52,67.43,64.95,62.49,56.75
전라남도,남자,74.03,76.10,76.99,79.87,77.90,73.85,70.70,67.76,63.28
전라남도,여자,59.15,62.79,59.53,60.83,60.77,59.90,59.31,57.80,52.53
경상북도,합계,66.82,70.86,69.53,73.07,70.59,66.41,63.61,61.48,56.32
경상북도,남자,73.85,74.06,76.82,79.89,77.96,73.21,69.36,66.45,62.61
경상북도,여자,58.62,61.08,59.41,60.89,60.46,58.91,58.09,56.92,52.04
경상남도,합계,67.14,72.30,68.80,72.35,70.38,66.53,63.57,61.53,56.74
경상남도,남자,74.17,75.98,76.26,79.32,77.87,73.34,69.31,66.42,62.75
경상남도,여자,58.76,60.33,58.94,60.48,60.36,58.94,57.89,56.91,52.30
제주특별자치도,합계,67.56,69.18,68.78,71.94,69.98,66.95,64.54,62.89,59.35
제주특별자치도,남자,76.08,75.94,78.86,81.34,79.00,75.16,71.71,68.91,65.75
제주특별자치도,여자,59.42,63.42,60.25,61.44,60.46,59.06,58.35,57.72,54.63
