연령,성별,계,저체중(18.5미만),정상(18.5~25미만),비만1단계(25~30미만),비만2단계(30~40미만),비만3단계(40이상)
계,합계,17510081,582126,9913201,5665466,1307731,41557
계,남자,9091686,123362,4410154,3707704,825962,24504
계,여자,8418395,458764,5503047,1957762,481769,17053
19세이하,합계,8653,705,4910,1922,1040,76
19세이하,남자,5723,353,3050,1460,803,57
19세이하,여자,2930,352,1860,462,237,19
20~24세,합계,544564,55357,335151,107294,43845,2917
20~24세,남자,232290,10534,127209,66528,26334,1685
20~24세,여자,312274,44823,207942,40766,17511,1232
25~29세,합계,1204753,75015,710730,301383,111267,6358
25~29세,남자,626802,12286,310321,222989,77328,3878
25~29세,여자,577951,62729,400409,78394,33939,2480
30~34세,합계,1638210,74523,893360,483203,177721,9403
30~34세,남자,923035,10346,404861,371321,130264,6243
30~34세,여자,715175,64177,488499,111882,47457,3160
35~39세,합계,1299514,45104,660681,429689,156704,7336
35~39세,남자,771493,6320,308905,333508,117859,4901
35~39세,여자,528021,38784,351776,96181,38845,2435
40~44세,합계,1998329,65767,1062185,658819,204877,6681
40~44세,남자,1102746,9112,456441,488017,145163,4013
40~44세,여자,895583,56655,605744,170802,59714,2668
45~49세,합계,1608468,43848,873439,548761,139187,3233
45~49세,남자,893962,7673,390237,398867,95394,1791
45~49세,여자,714506,36175,483202,149894,43793,1442
50~54세,합계,2173133,59554,1242102,724960,144126,2391
50~54세,남자,1122396,10972,529791,491430,89057,1146
50~54세,여자,1050737,48582,712311,233530,55069,1245
55~59세,합계,1751943,37644,1019116,599102,94931,1150
55~59세,남자,882086,9592,444949,375531,51599,415
55~59세,여자,869857,28052,574167,223571,43332,735
60~64세,합계,1974459,41517,1178461,664389,89255,837
60~64세,남자,951102,12395,516684,380815,41021,187
60~64세,여자,1023357,29122,661777,283574,48234,650
65~69세,합계,1284575,26207,755768,445825,56290,485
65~69세,남자,626911,9520,350786,243170,23342,93
65~69세,여자,657664,16687,404982,202655,32948,392
70~74세,합계,1083882,23268,624862,385680,49624,448
70~74세,남자,515549,9871,297569,191274,16777,58
70~74세,여자,568333,13397,327293,194406,32847,390
75~79세,합계,475515,12375,274515,167500,20989,136
75~79세,남자,228794,5779,136710,79841,6442,22
75~79세,여자,246721,6596,137805,87659,14547,114
80~84세,합계,356685,12714,210650,118685,14546,90
80~84세,남자,164332,5927,102972,51543,3877,13
80~84세,여자,192353,6787,107678,67142,10669,77
85세이상,합계,107398,8528,67271,28254,3329,16
85세이상,남자,44465,2682,29669,11410,702,2
85세이상,여자,62933,5846,37602,16844,2627,14
