연령,성별,계,110미만,110-119,120-129,130-139,140-149,150-159,160-169,170-179,180이상
계,합계,17516901,2918325,4667566,4330052,3650104,1181671,512297,171935,52553,32398
계,남자,9093244,905632,2310476,2499485,2258227,688410,289709,95143,28614,17548
계,여자,8423657,2012693,2357090,1830567,1391877,493261,222588,76792,23939,14850
19세이하,합계,8655,2160,3156,1910,1203,152,52,14,6,2
19세이하,남자,5725,909,2099,1514,1014,122,49,12,6,0
19세이하,여자,2930,1251,1057,396,189,30,3,2,0,2
20~24세,합계,544717,172730,190631,111165,57904,8344,2858,782,211,92
20~24세,남자,232358,36784,79618,64690,41875,6349,2237,577,163,65
20~24세,여자,312359,135946,111013,46475,16029,1995,621,205,48,27
25~29세,합계,1205411,322987,414760,266888,161447,25880,9231,2874,786,558
25~29세,남자,626997,80863,207835,178172,128570,20855,7458,2259,597,388
25~29세,여자,578414,242124,206925,88716,32877,5025,1773,615,189,170
30~34세,합계,1640842,402095,534511,377547,248822,48947,18872,6457,2089,1502
30~34세,남자,923379,109440,286200,262942,201463,39963,15444,5154,1638,1135
30~34세,여자,717463,292655,248311,114605,47359,8984,3428,1303,451,367
35~39세,합계,1300971,272521,400171,314660,229488,51164,20940,7653,2414,1960
35~39세,남자,771723,78472,220045,220860,184692,41521,16892,5985,1839,1417
35~39세,여자,529248,194049,180126,93800,44796,9643,4048,1668,575,543
40~44세,합계,1998889,398964,592541,495650,361937,93412,36681,12595,4023,3086
40~44세,남자,1102936,111272,297935,316995,265734,69738,27324,9078,2835,2025
40~44세,여자,895953,287692,294606,178655,96203,23674,9357,3517,1188,1061
45~49세,합계,1608620,277575,458653,412373,320117,86767,34823,11984,3734,2594
45~49세,남자,894051,89345,234887,253557,220513,60221,23621,7894,2413,1600
45~49세,여자,714569,188230,223766,158816,99604,26546,11202,4090,1321,994
50~54세,합계,2173263,346797,589562,563781,456421,135045,54312,17991,5623,3731
50~54세,남자,1122468,114868,284116,313589,278322,83041,32754,10509,3163,2106
50~54세,여자,1050795,231929,305446,250192,178099,52004,21558,7482,2460,1625
55~59세,합계,1752067,241379,447955,458327,403950,124502,51460,16621,4855,3018
55~59세,남자,882160,84490,211026,240062,230769,71637,29778,9674,2916,1808
55~59세,여자,869907,156889,236929,218265,173181,52865,21682,6947,1939,1210
60~64세,합계,1974563,228572,452692,517602,494906,174732,73154,22747,6461,3697
60~64세,남자,951165,85135,206274,254011,258306,91700,38317,11981,3418,2023
60~64세,여자,1023398,143437,246418,263591,236600,83032,34837,10766,3043,1674
65~69세,합계,1284670,118031,258947,332161,348487,138229,61212,19202,5557,2844
65~69세,남자,626967,49543,123078,163974,177746,69089,30141,9366,2687,1343
65~69세,여자,657703,68488,135869,168187,170741,69140,31071,9836,2870,1501
70~74세,합계,1083986,79099,187654,267388,304932,144560,68188,22212,6567,3386
70~74세,남자,515604,36743,90457,128882,146971,67328,30954,10011,2837,1421
70~74세,여자,568382,42356,97197,138506,157961,77232,37234,12201,3730,1965
75~79세,합계,475593,28018,71221,109417,136138,73403,37804,13179,4116,2297
75~79세,남자,228820,14417,35963,54063,65552,33761,16768,5680,1728,888
75~79세,여자,246773,13601,35258,55354,70586,39642,21036,7499,2388,1409
80~84세,합계,356875,19473,48858,77567,97788,59800,33037,13280,4487,2585
80~84세,남자,164378,10208,24088,36582,45270,26162,14032,5320,1759,957
80~84세,여자,192497,9265,24770,40985,52518,33638,19005,7960,2728,1628
85세이상,합계,107779,7924,16254,23616,26564,16734,9673,4344,1624,1046
85세이상,남자,44513,3143,6855,9592,11430,6923,3940,1643,615,372
85세이상,여자,63266,4781,9399,14024,15134,9811,5733,2701,1009,674
