연령,성별,계,70미만,70-79,80-89,90-99,100-109,110-119,120이상
계,합계,17516901,4862573,6559305,4721309,1057805,250654,50054,15201
계,남자,9093244,1786863,3444689,2943605,694122,176352,36378,11235
계,여자,8423657,3075710,3114616,1777704,363683,74302,13676,3966
19세이하,합계,8655,3949,3290,1288,101,21,5,1
19세이하,남자,5725,2292,2334,999,82,14,4,0
19세이하,여자,2930,1657,956,289,19,7,1,1
20~24세,합계,544717,257444,199276,77156,8656,1762,333,90
20~24세,남자,232358,83766,95880,45730,5577,1141,208,56
20~24세,여자,312359,173678,103396,31426,3079,621,125,34
25~29세,합계,1205411,487537,460743,218747,29063,7073,1629,619
25~29세,남자,626997,184328,262333,152366,21222,5179,1141,428
25~29세,여자,578414,303209,198410,66381,7841,1894,488,191
30~34세,합계,1640842,583353,618883,353732,60974,17524,4486,1890
30~34세,남자,923379,222998,374008,261029,46860,13569,3441,1474
30~34세,여자,717463,360355,244875,92703,14114,3955,1045,416
35~39세,합계,1300971,383499,481859,335939,69498,22107,5797,2272
35~39세,남자,771723,143027,296232,253973,54583,17535,4583,1790
35~39세,여자,529248,240472,185627,81966,14915,4572,1214,482
40~44세,합계,1998889,532315,722675,554873,135278,40721,9734,3293
40~44세,남자,1102936,170816,400324,389638,100772,31358,7474,2554
40~44세,여자,895953,361499,322351,165235,34506,9363,2260,739
45~49세,합계,1608620,377333,581467,484184,121659,34405,7469,2103
45~49세,남자,894051,125957,317850,329298,87547,26001,5770,1628
45~49세,여자,714569,251376,263617,154886,34112,8404,1699,475
50~54세,합계,2173263,486055,793726,669638,171649,42266,7922,2007
50~54세,남자,1122468,157870,398840,414803,113890,29872,5727,1466
50~54세,여자,1050795,328185,394886,254835,57759,12394,2195,541
55~59세,합계,1752067,380716,660240,547016,130493,27996,4553,1053
55~59세,남자,882160,128467,322582,323932,83744,19405,3260,770
55~59세,여자,869907,252249,337658,223084,46749,8591,1293,283
60~64세,합계,1974563,457362,762063,590947,135284,24485,3634,788
60~64세,남자,951165,164042,361242,326617,80721,15588,2405,550
60~64세,여자,1023398,293320,400821,264330,54563,8897,1229,238
65~69세,합계,1284670,320128,503291,366849,78909,13338,1759,396
65~69세,남자,626967,130791,245916,197125,44062,7788,1049,236
65~69세,여자,657703,189337,257375,169724,34847,5550,710,160
70~74세,합계,1083986,300877,422364,286637,62641,9815,1359,293
70~74세,남자,515604,133084,202745,142345,31592,4992,719,127
70~74세,여자,568382,167793,219619,144292,31049,4823,640,166
75~79세,합계,475593,143743,181241,118880,26537,4400,627,165
75~79세,남자,228820,68738,88203,57031,12481,1990,305,72
75~79세,여자,246773,75005,93038,61849,14056,2410,322,93
80~84세,합계,356875,112728,130576,88541,20727,3594,545,164
80~84세,남자,164378,54740,60541,38607,8697,1506,230,57
80~84세,여자,192497,57988,70035,49934,12030,2088,315,107
85세이상,합계,107779,35534,37611,26882,6336,1147,202,67
85세이상,남자,44513,15947,15659,10112,2292,414,62,27
85세이상,여자,63266,19587,21952,16770,4044,733,140,40
