연령,성별,계,140미만,140-159,160-179,180-199,200-219,220-239,240-259,260-279,280이상
계,합계,6013869,533471,654219,936202,1108544,1049046,796181,486728,251997,197481
계,남자,3306479,340496,367884,515266,610684,572772,425827,251959,126507,95084
계,여자,2707390,192975,286335,420936,497860,476274,370354,234769,125490,102397
19세이하,합계,0,0,0,0,0,0,0,0,0,0
19세이하,남자,0,0,0,0,0,0,0,0,0,0
19세이하,여자,0,0,0,0,0,0,0,0,0,0
20~24세,합계,106555,7140,17677,26334,24899,16310,8340,3627,1383,845
20~24세,남자,106555,7140,17677,26334,24899,16310,8340,3627,1383,845
20~24세,여자,0,0,0,0,0,0,0,0,0,0
25~29세,합계,196547,7273,21161,40383,47343,37739,23043,11392,4966,3247
25~29세,남자,196547,7273,21161,40383,47343,37739,23043,11392,4966,3247
25~29세,여자,0,0,0,0,0,0,0,0,0,0
30~34세,합계,233710,5844,16932,37847,52517,49582,35207,19737,9399,6645
30~34세,남자,233710,5844,16932,37847,52517,49582,35207,19737,9399,6645
30~34세,여자,0,0,0,0,0,0,0,0,0,0
35~39세,합계,213469,5342,13042,28968,44225,45470,35768,21438,10795,8421
35~39세,남자,213469,5342,13042,28968,44225,45470,35768,21438,10795,8421
35~39세,여자,0,0,0,0,0,0,0,0,0,0
40~44세,합계,1038866,32375,69755,149409,218084,219348,164972,97804,49564,37555
40~44세,남자,542025,20422,33233,64959,99627,110952,93427,60360,32702,26343
40~44세,여자,496841,11953,36522,84450,118457,108396,71545,37444,16862,11212
45~49세,합계,552938,24009,39131,73539,106994,113054,89739,55455,28845,22172
45~49세,남자,279451,16502,21896,35425,49112,53908,44811,29213,15823,12761
45~49세,여자,273487,7507,17235,38114,57882,59146,44928,26242,13022,9411
50~54세,합계,592686,32438,45383,72966,102207,113474,96547,64738,35231,29702
50~54세,남자,295222,23032,27838,40447,51970,54008,43851,27832,14659,11585
50~54세,여자,297464,9406,17545,32519,50237,59466,52696,36906,20572,18117
55~59세,합계,604266,44296,55568,79632,100499,106561,91288,62189,34718,29515
55~59세,남자,287268,29245,31692,42460,50996,49842,38837,23636,11778,8782
55~59세,여자,316998,15051,23876,37172,49503,56719,52451,38553,22940,20733
60~64세,합계,1119541,121312,138391,175642,189763,178221,140495,89367,47829,38521
60~64세,남자,526188,76023,71679,86607,91892,81804,58460,33072,15779,10872
60~64세,여자,593353,45289,66712,89035,97871,96417,82035,56295,32050,27649
65~69세,합계,484643,73074,74840,85156,82029,67971,48252,28451,14251,10619
65~69세,남자,225708,44963,37004,39291,37472,29964,19477,10229,4485,2823
65~69세,여자,258935,28111,37836,45865,44557,38007,28775,18222,9766,7796
70~74세,합계,365025,67864,64454,68494,60106,45726,29387,16108,7551,5335
70~74세,남자,169745,40830,30723,30566,26520,19705,11771,5735,2428,1467
70~74세,여자,195280,27034,33731,37928,33586,26021,17616,10373,5123,3868
75~79세,합계,250009,52423,47111,48257,40384,28697,17514,8817,4092,2714
75~79세,남자,116557,30882,22201,21163,17611,12488,7005,3169,1301,737
75~79세,여자,133452,21541,24910,27094,22773,16209,10509,5648,2791,1977
80~84세,합계,214612,49876,42503,41653,33249,22766,13341,6469,2877,1878
80~84세,남자,97950,28193,19466,17809,14166,9559,5154,2211,902,490
80~84세,여자,116662,21683,23037,23844,19083,13207,8187,4258,1975,1388
85세이상,합계,41002,10205,8271,7922,6245,4127,2288,1136,496,312
85세이상,남자,16084,4805,3340,3007,2334,1441,676,308,107,66
85세이상,여자,24918,5400,4931,4915,3911,2686,1612,828,389,246
