연령,성별,계,70미만,70-99,100-129,130-159,160-189,190이상
계,합계,5899487,740160,1414837,1752478,1276011,532762,183239
계,남자,3212354,432039,744892,958782,702280,284203,90158
계,여자,2687133,308121,669945,793696,573731,248559,93081
19세이하,합계,0,0,0,0,0,0,0
19세이하,남자,0,0,0,0,0,0,0
19세이하,여자,0,0,0,0,0,0,0
20~24세,합계,105453,8013,35538,39225,17328,4387,962
20~24세,남자,105453,8013,35538,39225,17328,4387,962
20~24세,여자,0,0,0,0,0,0,0
25~29세,합계,192693,9684,49638,74119,42625,13221,3406
25~29세,남자,192693,9684,49638,74119,42625,13221,3406
25~29세,여자,0,0,0,0,0,0,0
30~34세,합계,226640,8589,44726,83251,60709,22712,6653
30~34세,남자,226640,8589,44726,83251,60709,22712,6653
30~34세,여자,0,0,0,0,0,0,0
35~39세,합계,204818,8095,35064,70678,58693,24472,7816
35~39세,남자,204818,8095,35064,70678,58693,24472,7816
35~39세,여자,0,0,0,0,0,0,0
40~44세,합계,1009883,57097,209139,350287,256932,102949,33479
40~44세,남자,516688,31590,86972,161168,145644,67447,23867
40~44세,여자,493195,25507,122167,189119,111288,35502,9612
45~49세,합계,538095,40204,108916,176169,136831,57087,18888
45~49세,남자,266916,25418,51009,78859,68955,31606,11069
45~49세,여자,271179,14786,57907,97310,67876,25481,7819
50~54세,합계,578913,51783,111961,172854,148024,68340,25951
50~54세,남자,284159,34296,59624,81723,67667,30406,10443
50~54세,여자,294754,17487,52337,91131,80357,37934,15508
55~59세,합계,592359,66225,122528,164482,142560,69371,27193
55~59세,남자,278397,40496,63516,78792,61153,26095,8345
55~59세,여자,313962,25729,59012,85690,81407,43276,18848
60~64세,합계,1104318,170112,277196,293773,224190,101539,37508
60~64세,남자,515636,97137,132648,139712,97106,37858,11175
60~64세,여자,588682,72975,144548,154061,127084,63681,26333
65~69세,합계,480464,96562,139044,122178,79679,32228,10773
65~69세,남자,223073,53343,63050,56857,34580,12101,3142
65~69세,여자,257391,43219,75994,65321,45099,20127,7631
70~74세,합계,362736,87077,113991,88336,49892,17964,5476
70~74세,남자,168438,46452,50455,40913,22038,6871,1709
70~74세,여자,194298,40625,63536,47423,27854,11093,3767
75~79세,합계,248708,64986,81830,58640,30451,9939,2862
75~79세,남자,115883,33957,36072,27263,13810,3881,900
75~79세,여자,132825,31029,45758,31377,16641,6058,1962
80~84세,합계,213594,60286,71504,48808,23766,7281,1949
80~84세,남자,97519,30061,31174,22430,10477,2784,593
80~84세,여자,116075,30225,40330,26378,13289,4497,1356
85세이상,합계,40813,11447,13762,9678,4331,1272,323
85세이상,남자,16041,4908,5406,3792,1495,362,78
85세이상,여자,24772,6539,8356,5886,2836,910,245
