연령,성별,계,10.0미만,10.0-10.9,11.0-11.9,12.0-12.9,13.0-13.9,14.0-14.9,15.0-15.5,15.6-15.9,16.0-16.5,16.6이상
계,합계,17516433,137924,202748,678933,2433849,4142681,4100121,2295965,1261904,1289359,972949
계,남자,9092941,18853,25806,65987,213197,861427,2467611,2025227,1198214,1255478,961141
계,여자,8423492,119071,176942,612946,2220652,3281254,1632510,270738,63690,33881,11808
19세이하,합계,8654,29,65,285,878,1465,1839,1572,958,990,573
19세이하,남자,5724,0,0,12,20,266,1388,1531,950,984,573
19세이하,여자,2930,29,65,273,858,1199,451,41,8,6,0
20~24세,합계,544696,2757,5237,22137,90036,141608,105095,64224,40266,44019,29317
20~24세,남자,232346,76,83,243,1159,9347,51011,58306,39316,43590,29215
20~24세,여자,312350,2681,5154,21894,88877,132261,54084,5918,950,429,102
25~29세,합계,1205367,4447,8362,34729,161620,277118,253028,173324,107111,112178,73450
25~29세,남자,626975,236,196,571,2746,26144,146673,160915,104934,111358,73202
25~29세,여자,578392,4211,8166,34158,158874,250974,106355,12409,2177,820,248
30~34세,합계,1640802,7367,13045,48227,197454,342099,358557,252394,152801,159734,109124
30~34세,남자,923357,492,418,978,4225,41834,223909,235108,149475,158209,108709
30~34세,여자,717445,6875,12627,47249,193229,300265,134648,17286,3326,1525,415
35~39세,합계,1300943,10530,14691,43421,149240,247655,286207,205284,122939,128838,92138
35~39세,남자,771704,620,492,958,4326,39648,193637,192418,120244,127586,91775
35~39세,여자,529239,9910,14199,42463,144914,208007,92570,12866,2695,1252,363
40~44세,합계,1998831,30125,34509,82841,247244,390423,427854,286326,168907,181714,148888
40~44세,남자,1102905,1020,930,1904,7858,64107,274970,261917,163349,178916,147934
40~44세,여자,895926,29105,33579,80937,239386,326316,152884,24409,5558,2798,954
45~49세,합계,1608588,27878,29043,67413,195147,318466,361935,229622,130408,136981,111695
45~49세,남자,894030,1035,921,2083,8798,64047,237638,208795,125531,134377,110805
45~49세,여자,714558,26843,28122,65330,186349,254419,124297,20827,4877,2604,890
50~54세,합계,2173209,18354,20375,65170,268598,505390,536991,295865,160879,165361,136226
50~54세,남자,1122428,1416,1482,3417,15175,94649,308814,253435,150323,159522,134195
50~54세,여자,1050781,16938,18893,61753,253423,410741,228177,42430,10556,5839,2031
55~59세,합계,1752025,3347,5898,40893,226171,453751,462812,231684,118522,118064,90883
55~59세,남자,882138,1370,1566,4007,17197,91812,260479,194417,109103,113005,89182
55~59세,여자,869887,1977,4332,36886,208974,361939,202333,37267,9419,5059,1701
60~64세,합계,1974511,4182,8973,57043,280874,538602,521214,241775,118839,114585,88424
60~64세,남자,951132,1920,2558,6810,27465,120898,289402,198937,108204,108675,86263
60~64세,여자,1023379,2262,6415,50233,253409,417704,231812,42838,10635,5910,2161
65~69세,합계,1284633,4219,9661,51350,206780,359782,331071,144440,67356,62929,47045
65~69세,남자,626952,1943,2751,7708,28509,101124,197712,120442,61344,59590,45829
65~69세,여자,657681,2276,6910,43642,178271,258658,133359,23998,6012,3339,1216
70~74세,합계,1083945,6347,14925,61740,196636,309633,267086,106579,47433,42508,31058
70~74세,남자,515586,2680,4133,11485,36105,100054,161283,87446,42673,39752,29975
70~74세,여자,568359,3667,10792,50255,160531,209579,105803,19133,4760,2756,1083
75~79세,합계,475556,4851,11694,39948,99970,135978,106548,37865,15832,13644,9226
75~79세,남자,228793,1945,3308,9090,24877,53758,68651,31326,14231,12741,8866
75~79세,여자,246763,2906,8386,30858,75093,82220,37897,6539,1601,903,360
80~84세,합계,356857,7393,16531,44420,85828,96294,65930,21100,8362,6737,4262
80~84세,남자,164363,2607,4526,11412,25538,42270,43099,17215,7440,6217,4039
80~84세,여자,192494,4786,12005,33008,60290,54024,22831,3885,922,520,223
85세이상,합계,107816,6098,9739,19316,27373,24417,13954,3911,1291,1077,640
85세이상,남자,44508,1493,2442,5309,9199,11469,8945,3019,1097,956,579
85세이상,여자,63308,4605,7297,14007,18174,12948,5009,892,194,121,61
