연령,성별,계,0.9미만,0.9-1.0,1.1-1.2,1.3-1.4,1.5-1.6,1.7-1.8,1.9-2.0,2.1이상
계,합계,17516863,9759710,5289296,1966209,356942,68286,24492,12116,39812
계,남자,9093256,2570349,4219131,1852322,333912,59491,20277,9677,28097
계,여자,8423607,7189361,1070165,113887,23030,8795,4215,2439,11715
19세이하,합계,8654,4716,3121,767,47,3,0,0,0
19세이하,남자,5724,2139,2776,759,47,3,0,0,0
19세이하,여자,2930,2577,345,8,0,0,0,0,0
20~24세,합계,544704,338899,149571,49628,6016,353,45,15,177
20~24세,남자,232355,62052,115828,48073,5941,340,37,10,74
20~24세,여자,312349,276847,33743,1555,75,13,8,5,103
25~29세,합계,1205383,672677,377772,136420,16975,993,109,40,397
25~29세,남자,626988,160188,315307,133348,16854,956,88,28,219
25~29세,여자,578395,512489,62465,3072,121,37,21,12,178
30~34세,합계,1640824,867161,538552,205502,26838,1666,266,124,715
30~34세,남자,923376,233719,459057,201610,26619,1606,230,93,442
30~34세,여자,717448,633442,79495,3892,219,60,36,31,273
35~39세,합계,1300964,673650,438538,164183,21501,1624,339,170,959
35~39세,남자,771716,203450,383114,161253,21270,1553,307,142,627
35~39세,여자,529248,470200,55424,2930,231,71,32,28,332
40~44세,합계,1998901,1088687,636909,234111,32783,3109,777,405,2120
40~44세,남자,1102956,297236,539537,228548,32284,2905,659,344,1443
40~44세,여자,895945,791451,97372,5563,499,204,118,61,677
45~49세,합계,1608639,880477,509246,184571,27726,3188,788,441,2202
45~49세,남자,894068,252685,429149,179408,27209,2978,686,371,1582
45~49세,여자,714571,627792,80097,5163,517,210,102,70,620
50~54세,합계,2173256,1231315,655950,235888,38759,5371,1537,732,3704
50~54세,남자,1122458,323591,525614,226171,37610,4977,1306,614,2575
50~54세,여자,1050798,907724,130336,9717,1149,394,231,118,1129
55~59세,합계,1752073,1024042,508457,176836,31355,5425,1617,796,3545
55~59세,남자,882179,274148,400363,167973,30130,4974,1387,674,2530
55~59세,여자,869894,749894,108094,8863,1225,451,230,122,1015
60~64세,합계,1974576,1174736,549975,193217,39080,8116,2811,1364,5277
60~64세,남자,951175,304075,415828,179799,36949,7349,2411,1098,3666
60~64세,여자,1023401,870661,134147,13418,2131,767,400,266,1611
65~69세,합계,1284661,745476,356435,133426,31756,8070,3120,1434,4944
65~69세,남자,626975,196943,264352,121488,29459,7303,2702,1171,3557
65~69세,여자,657686,548533,92083,11938,2297,767,418,263,1387
70~74세,합계,1083975,603028,300132,122145,35127,10896,4405,2097,6145
70~74세,남자,515608,151169,208199,105765,31178,9390,3746,1722,4439
70~74세,여자,568367,451859,91933,16380,3949,1506,659,375,1706
75~79세,합계,475565,244117,133930,60989,20522,7382,3125,1606,3894
75~79세,남자,228800,61275,87653,49769,17206,6140,2593,1291,2873
75~79세,여자,246765,182842,46277,11220,3316,1242,532,315,1021
80~84세,합계,356867,165571,101035,51530,20625,8400,3758,1925,4023
80~84세,남자,164369,38743,58119,37714,15965,6500,2921,1473,2934
80~84세,여자,192498,126828,42916,13816,4660,1900,837,452,1089
85세이상,합계,107821,45158,29673,16996,7832,3690,1795,967,1710
85세이상,남자,44509,8936,14235,10644,5191,2517,1204,646,1136
85세이상,여자,63312,36222,15438,6352,2641,1173,591,321,574
