연령,성별,계,35이하,36-40,41-45,46-50,51-60,61-70,71-80,81-90,91-100,101이상
계,합계,17516776,14377684,799338,555869,388646,500154,287762,177974,116042,79125,234182
계,남자,9093161,6712829,578752,414961,295039,386202,225302,140247,91903,63014,184912
계,여자,8423615,7664855,220586,140908,93607,113952,62460,37727,24139,16111,49270
19세이하,합계,8654,7647,199,166,91,126,97,65,54,44,165
19세이하,남자,5724,4840,177,146,83,107,88,57,44,40,142
19세이하,여자,2930,2807,22,20,8,19,9,8,10,4,23
20~24세,합계,544699,485123,11778,8791,6222,8858,5706,3865,2899,2197,9260
20~24세,남자,232347,185953,9039,6796,4876,6922,4466,3017,2266,1720,7292
20~24세,여자,312352,299170,2739,1995,1346,1936,1240,848,633,477,1968
25~29세,합계,1205377,1025193,36806,27013,19792,27119,17578,11867,8611,6458,24940
25~29세,남자,626982,473721,30853,22902,16888,23190,15050,10171,7380,5558,21269
25~29세,여자,578395,551472,5953,4111,2904,3929,2528,1696,1231,900,3671
30~34세,합계,1640815,1326779,64269,47666,35182,49286,31322,21088,14973,11061,39189
30~34세,남자,923365,649385,55162,41364,30774,43326,27648,18531,13189,9709,34277
30~34세,여자,717450,677394,9107,6302,4408,5960,3674,2557,1784,1352,4912
35~39세,합계,1300962,1012024,60110,45269,33681,47066,29518,19541,13793,9454,30506
35~39세,남자,771713,515406,52365,40153,29979,42046,26411,17506,12403,8486,26958
35~39세,여자,529249,496618,7745,5116,3702,5020,3107,2035,1390,968,3548
40~44세,합계,1998874,1571468,95369,71042,52249,70597,42858,27557,18296,12728,36710
40~44세,남자,1102935,733281,80787,61143,45461,61840,37659,24194,16012,11176,31382
40~44세,여자,895939,838187,14582,9899,6788,8757,5199,3363,2284,1552,5328
45~49세,합계,1608636,1282249,79014,57868,40884,54474,31645,19468,12517,8436,22081
45~49세,남자,894066,618652,65271,48792,34773,46770,27202,16677,10710,7137,18082
45~49세,여자,714570,663597,13743,9076,6111,7704,4443,2791,1807,1299,3999
50~54세,합계,2173255,1746880,112982,78582,54687,69412,39004,23391,14562,9570,24185
50~54세,남자,1122457,807953,81146,57796,40897,52424,29498,17613,10863,7120,17147
50~54세,여자,1050798,938927,31836,20786,13790,16988,9506,5778,3699,2450,7038
55~59세,합계,1752066,1424300,93616,62493,42752,52317,28067,16344,10011,6386,15780
55~59세,남자,882164,667220,59611,41209,28287,35125,18848,11036,6635,4200,9993
55~59세,여자,869902,757080,34005,21284,14465,17192,9219,5308,3376,2186,5787
60~64세,합계,1974563,1628354,104188,67836,45203,54084,28231,16375,9494,6134,14664
60~64세,남자,951164,738877,62083,41430,28167,33792,17957,10268,5884,3843,8863
60~64세,여자,1023399,889477,42105,26406,17036,20292,10274,6107,3610,2291,5801
65~69세,합계,1284653,1081355,63577,41130,26535,31076,15906,8788,5337,3212,7737
65~69세,남자,626968,503106,37760,25076,16338,19416,9998,5488,3273,1992,4521
65~69세,여자,657685,578249,25817,16054,10197,11660,5908,3300,2064,1220,3216
70~74세,합계,1083970,932180,48649,30520,20107,23149,11666,6286,3626,2278,5509
70~74세,남자,515601,426803,27870,17866,11953,13887,6867,3744,2147,1344,3120
70~74세,여자,568369,505377,20779,12654,8154,9262,4799,2542,1479,934,2389
75~79세,합계,475565,423714,17219,10602,6880,7654,3770,2027,1115,685,1899
75~79세,남자,228799,198232,10081,6287,4069,4557,2256,1180,657,423,1057
75~79세,여자,246766,225482,7138,4315,2811,3097,1514,847,458,262,842
80~84세,합계,356866,328180,9693,5778,3697,4149,2000,1089,649,399,1232
80~84세,남자,164367,147884,5519,3398,2127,2381,1153,652,379,218,656
80~84세,여자,192499,180296,4174,2380,1570,1768,847,437,270,181,576
85세이상,합계,107821,102238,1869,1113,684,787,394,223,105,83,325
85세이상,남자,44509,41516,1028,603,367,419,201,113,61,48,153
85세이상,여자,63312,60722,841,510,317,368,193,110,44,35,172
