성별,연령,측정수,평균kg,표준편차kg,최소,최대,왜도,첨도,p1,p5,p10,p25,p50,p75,p90,p95,p99
남자,20-24세,343,72.86,12.22,46.1,134.9,1.20,3.00,49.78,56.62,60.04,64.70,71.70,78.20,88.52,95.40,115.88
남자,25-29세,267,74.50,10.91,52.7,124.7,1.07,3.01,53.20,58.70,62.20,67.30,73.00,80.50,87.84,92.22,116.85
남자,30-34세,237,77.73,11.97,54.3,118.8,0.65,0.20,55.20,60.50,63.50,69.75,76.00,85.05,95.12,99.09,110.46
남자,35-39세,256,79.23,11.17,51.3,117.2,0.56,0.80,56.73,62.11,65.64,72.30,78.50,85.83,93.62,98.62,115.45
남자,40-44세,223,77.66,11.20,52.1,130.0,0.79,1.83,56.24,61.58,64.44,69.30,77.10,84.70,92.20,97.66,114.45
남자,45-49세,241,75.81,11.00,49.5,104.3,0.35,-0.17,52.87,59.04,63.16,68.45,75.00,83.70,91.08,95.49,104.03
남자,50-54세,144,73.50,9.43,53.2,99.9,0.43,-0.20,54.46,58.93,62.70,65.85,73.15,79.45,87.75,91.55,98.69
남자,55-59세,146,72.44,8.68,49.2,100.5,0.10,0.22,50.89,58.74,61.92,65.93,72.95,78.20,83.23,86.64,97.30
남자,60-64세,207,72.05,9.59,51.2,113.6,0.64,0.98,53.56,57.80,60.18,65.00,71.60,77.80,84.22,90.70,95.46
남자,65-69세,255,68.98,8.82,49.8,95.9,0.37,0.19,50.45,54.44,57.96,62.90,68.20,74.00,80.40,85.46,93.72
남자,전체,2319,74.53,11.17,46.1,134.9,0.76,1.40,53.10,58.70,61.60,66.60,73.40,80.80,89.20,94.20,106.22
여자,20-24세,271,55.25,8.89,36.6,89.3,0.89,0.96,40.35,43.40,44.64,48.70,53.90,59.80,67.80,72.38,82.66
여자,25-29세,304,57.04,9.59,35.5,93.3,0.95,1.21,40.73,45.03,47.05,50.23,54.90,62.50,70.35,73.95,89.26
여자,30-34세,275,57.49,9.79,37.9,100.1,0.97,1.40,39.77,44.88,46.46,50.60,55.70,63.20,70.80,76.98,85.63
여자,35-39세,380,58.17,9.55,38.3,93.2,1.03,1.31,40.87,45.73,48.01,51.80,56.30,62.88,70.79,78.70,90.10
여자,40-44세,352,59.32,10.04,39.8,114.3,1.36,3.59,43.36,46.50,48.59,52.33,57.55,64.40,70.94,76.44,94.78
여자,45-49세,225,60.17,9.27,41.4,90.4,0.92,0.76,44.31,48.03,50.04,53.55,58.10,64.35,74.22,79.02,90.30
여자,50-54세,270,59.03,8.91,44.1,94.0,1.23,2.02,45.14,47.76,49.70,53.00,56.70,62.95,70.87,77.18,91.40
여자,55-59세,230,58.13,8.68,38.2,108.9,1.38,5.36,41.96,46.14,48.60,52.35,57.55,62.13,68.09,71.59,88.14
여자,60-64세,228,58.03,7.69,37.4,80.4,0.56,0.25,39.81,47.59,49.48,52.50,56.95,63.13,68.93,72.71,79.37
여자,65-69세,238,57.82,7.15,40.5,78.6,0.57,0.23,42.96,47.59,49.91,52.50,56.85,62.58,67.80,72.71,77.86
여자,전체,2773,58.04,9.17,35.5,114.3,1.04,2.02,41.80,45.70,47.84,51.90,56.50,63.00,70.30,75.30,87.19
