항목,단위,성별,연령대,표본수,P5,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,원 구간·가정
BMI,kg/m²,남,19세이하,5723,17.6,19,20.2,21.4,22.6,23.8,25.1,27.1,29,33.6,37.1,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,여,19세이하,2930,15.9,17.7,19.3,20.3,21.4,22.4,23.4,24.4,26.4,29.6,34.6,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,남,20~24세,232290,18.6,19.1,20.3,21.5,22.7,23.9,25.1,26.9,28.6,31.8,36.2,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,여,20~24세,312274,15.6,17.1,19.1,20,21,22,23,23.9,24.9,28.5,31.8,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,남,25~29세,626802,18.9,19.6,20.9,22.2,23.5,24.8,26.2,27.6,29,32.4,36.4,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,여,25~29세,577951,16.1,18.1,19.4,20.3,21.2,22.2,23.1,24,25,28.6,32.2,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,남,30~34세,923035,19.1,19.8,21.3,22.8,24.3,25.6,26.9,28.1,29.4,33.4,36.9,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,여,30~34세,715175,16.5,18.6,19.5,20.5,21.5,22.4,23.4,24.3,25.9,29.1,33.1,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,남,35~39세,771493,19.2,20,21.6,23.2,24.9,26.1,27.2,28.4,29.5,33.9,37.1,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,여,35~39세,528021,17.1,18.8,19.7,20.7,21.7,22.7,23.6,24.6,26.7,29.4,33.8,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,남,40~44세,1102746,19.2,19.9,21.5,23.1,24.7,25.9,27,28.1,29.3,32.7,36.5,18.5/25/30/40 · 끝 구간 14·50 가정
BMI,kg/m²,여,40~44세,895583,17.6,18.9,19.8,20.8,21.7,22.7,23.7,24.6,26.6,29.2,32.9,18.5/25/30/40 · 끝 구간 14·50 가정
