항목,성별,연령대,표본수,범주,인원,비율(%)
요단백,남,19세이하,5717,음성,5347,93.53
요단백,남,19세이하,5717,±,237,4.15
요단백,남,19세이하,5717,+1,105,1.84
요단백,남,19세이하,5717,+2,23,0.4
요단백,남,19세이하,5717,+3,5,0.09
요단백,남,19세이하,5717,+4,0,0
요단백,여,19세이하,2913,음성,2567,88.12
요단백,여,19세이하,2913,±,208,7.14
요단백,여,19세이하,2913,+1,108,3.71
요단백,여,19세이하,2913,+2,22,0.76
요단백,여,19세이하,2913,+3,8,0.27
요단백,여,19세이하,2913,+4,0,0
요단백,남,20~24세,232051,음성,214319,92.36
요단백,남,20~24세,232051,±,11453,4.94
요단백,남,20~24세,232051,+1,5016,2.16
요단백,남,20~24세,232051,+2,935,0.4
요단백,남,20~24세,232051,+3,267,0.12
요단백,남,20~24세,232051,+4,61,0.03
요단백,여,20~24세,310187,음성,273460,88.16
요단백,여,20~24세,310187,±,21728,7
요단백,여,20~24세,310187,+1,11862,3.82
요단백,여,20~24세,310187,+2,2361,0.76
요단백,여,20~24세,310187,+3,622,0.2
요단백,여,20~24세,310187,+4,154,0.05
요단백,남,25~29세,626391,음성,575306,91.84
요단백,남,25~29세,626391,±,35308,5.64
요단백,남,25~29세,626391,+1,12630,2.02
요단백,남,25~29세,626391,+2,2355,0.38
요단백,남,25~29세,626391,+3,642,0.1
요단백,남,25~29세,626391,+4,150,0.02
요단백,여,25~29세,573020,음성,507199,88.51
요단백,여,25~29세,573020,±,43212,7.54
요단백,여,25~29세,573020,+1,18232,3.18
요단백,여,25~29세,573020,+2,3322,0.58
요단백,여,25~29세,573020,+3,829,0.14
요단백,여,25~29세,573020,+4,226,0.04
요단백,남,30~34세,922367,음성,833050,90.32
요단백,남,30~34세,922367,±,61672,6.69
요단백,남,30~34세,922367,+1,21816,2.37
요단백,남,30~34세,922367,+2,4296,0.47
요단백,남,30~34세,922367,+3,1225,0.13
요단백,남,30~34세,922367,+4,308,0.03
요단백,여,30~34세,709814,음성,626847,88.31
요단백,여,30~34세,709814,±,56378,7.94
요단백,여,30~34세,709814,+1,21684,3.05
요단백,여,30~34세,709814,+2,3771,0.53
요단백,여,30~34세,709814,+3,901,0.13
요단백,여,30~34세,709814,+4,233,0.03
요단백,남,35~39세,770853,음성,693503,89.97
요단백,남,35~39세,770853,±,52001,6.75
요단백,남,35~39세,770853,+1,19164,2.49
요단백,남,35~39세,770853,+2,4533,0.59
요단백,남,35~39세,770853,+3,1323,0.17
요단백,남,35~39세,770853,+4,329,0.04
요단백,여,35~39세,523567,음성,465341,88.88
요단백,여,35~39세,523567,±,40005,7.64
요단백,여,35~39세,523567,+1,14473,2.76
요단백,여,35~39세,523567,+2,2818,0.54
요단백,여,35~39세,523567,+3,732,0.14
요단백,여,35~39세,523567,+4,198,0.04
요단백,남,40~44세,1101000,음성,979968,89.01
요단백,남,40~44세,1101000,±,78218,7.1
요단백,남,40~44세,1101000,+1,31985,2.91
요단백,남,40~44세,1101000,+2,7871,0.71
요단백,남,40~44세,1101000,+3,2364,0.21
요단백,남,40~44세,1101000,+4,594,0.05
요단백,여,40~44세,886531,음성,791388,89.27
요단백,여,40~44세,886531,±,63776,7.19
요단백,여,40~44세,886531,+1,24764,2.79
요단백,여,40~44세,886531,+2,4940,0.56
요단백,여,40~44세,886531,+3,1335,0.15
요단백,여,40~44세,886531,+4,328,0.04
요단백,남,45~49세,892303,음성,802165,89.9
요단백,남,45~49세,892303,±,56621,6.35
요단백,남,45~49세,892303,+1,24361,2.73
요단백,남,45~49세,892303,+2,6565,0.74
요단백,남,45~49세,892303,+3,2035,0.23
요단백,남,45~49세,892303,+4,556,0.06
요단백,여,45~49세,708366,음성,643530,90.85
요단백,여,45~49세,708366,±,42182,5.95
요단백,여,45~49세,708366,+1,17423,2.46
요단백,여,45~49세,708366,+2,3963,0.56
요단백,여,45~49세,708366,+3,1038,0.15
요단백,여,45~49세,708366,+4,230,0.03
요단백,남,50~54세,1119557,음성,1006984,89.94
요단백,남,50~54세,1119557,±,67341,6.01
요단백,남,50~54세,1119557,+1,32387,2.89
요단백,남,50~54세,1119557,+2,9323,0.83
요단백,남,50~54세,1119557,+3,2809,0.25
요단백,남,50~54세,1119557,+4,713,0.06
요단백,여,50~54세,1046474,음성,970487,92.74
요단백,여,50~54세,1046474,±,48406,4.63
요단백,여,50~54세,1046474,+1,20881,2
요단백,여,50~54세,1046474,+2,5052,0.48
요단백,여,50~54세,1046474,+3,1334,0.13
요단백,여,50~54세,1046474,+4,314,0.03
요단백,남,55~59세,879661,음성,796789,90.58
요단백,남,55~59세,879661,±,47091,5.35
요단백,남,55~59세,879661,+1,24910,2.83
요단백,남,55~59세,879661,+2,7677,0.87
요단백,남,55~59세,879661,+3,2552,0.29
요단백,남,55~59세,879661,+4,642,0.07
요단백,여,55~59세,868405,음성,815584,93.92
요단백,여,55~59세,868405,±,32993,3.8
요단백,여,55~59세,868405,+1,14863,1.71
요단백,여,55~59세,868405,+2,3678,0.42
요단백,여,55~59세,868405,+3,1038,0.12
요단백,여,55~59세,868405,+4,249,0.03
요단백,남,60~64세,947041,음성,858578,90.66
요단백,남,60~64세,947041,±,45513,4.81
요단백,남,60~64세,947041,+1,29169,3.08
요단백,남,60~64세,947041,+2,9708,1.03
요단백,남,60~64세,947041,+3,3231,0.34
요단백,남,60~64세,947041,+4,842,0.09
요단백,여,60~64세,1020904,음성,956852,93.73
요단백,여,60~64세,1020904,±,37466,3.67
요단백,여,60~64세,1020904,+1,19598,1.92
요단백,여,60~64세,1020904,+2,5156,0.51
요단백,여,60~64세,1020904,+3,1483,0.15
요단백,여,60~64세,1020904,+4,349,0.03
요단백,남,65~69세,623538,음성,563522,90.37
요단백,남,65~69세,623538,±,28532,4.58
요단백,남,65~69세,623538,+1,20624,3.31
요단백,남,65~69세,623538,+2,7552,1.21
요단백,남,65~69세,623538,+3,2621,0.42
요단백,남,65~69세,623538,+4,687,0.11
요단백,여,65~69세,655594,음성,612412,93.41
요단백,여,65~69세,655594,±,24008,3.66
요단백,여,65~69세,655594,+1,14037,2.14
요단백,여,65~69세,655594,+2,3769,0.57
요단백,여,65~69세,655594,+3,1076,0.16
요단백,여,65~69세,655594,+4,292,0.04
요단백,남,70~74세,511420,음성,456208,89.2
요단백,남,70~74세,511420,±,24276,4.75
요단백,남,70~74세,511420,+1,19728,3.86
요단백,남,70~74세,511420,+2,7722,1.51
요단백,남,70~74세,511420,+3,2744,0.54
요단백,남,70~74세,511420,+4,742,0.15
요단백,여,70~74세,565300,음성,522684,92.46
요단백,여,70~74세,565300,±,21889,3.87
요단백,여,70~74세,565300,+1,14626,2.59
요단백,여,70~74세,565300,+2,4341,0.77
요단백,여,70~74세,565300,+3,1398,0.25
요단백,여,70~74세,565300,+4,362,0.06
요단백,남,75~79세,226238,음성,199648,88.25
요단백,남,75~79세,226238,±,11061,4.89
요단백,남,75~79세,226238,+1,9679,4.28
요단백,남,75~79세,226238,+2,4026,1.78
요단백,남,75~79세,226238,+3,1446,0.64
요단백,남,75~79세,226238,+4,378,0.17
요단백,여,75~79세,244544,음성,223563,91.42
요단백,여,75~79세,244544,±,10038,4.1
요단백,여,75~79세,244544,+1,7497,3.07
요단백,여,75~79세,244544,+2,2504,1.02
요단백,여,75~79세,244544,+3,740,0.3
요단백,여,75~79세,244544,+4,202,0.08
요단백,남,80~84세,161362,음성,139780,86.63
요단백,남,80~84세,161362,±,8366,5.18
요단백,남,80~84세,161362,+1,8048,4.99
요단백,남,80~84세,161362,+2,3552,2.2
요단백,남,80~84세,161362,+3,1266,0.78
요단백,남,80~84세,161362,+4,350,0.22
요단백,여,80~84세,188418,음성,170225,90.34
요단백,여,80~84세,188418,±,8024,4.26
요단백,여,80~84세,188418,+1,6817,3.62
요단백,여,80~84세,188418,+2,2384,1.27
요단백,여,80~84세,188418,+3,760,0.4
요단백,여,80~84세,188418,+4,208,0.11
요단백,남,85세이상,42634,음성,36424,85.43
요단백,남,85세이상,42634,±,2316,5.43
요단백,남,85세이상,42634,+1,2381,5.58
요단백,남,85세이상,42634,+2,1059,2.48
요단백,남,85세이상,42634,+3,361,0.85
요단백,남,85세이상,42634,+4,93,0.22
요단백,여,85세이상,57789,음성,51491,89.1
요단백,여,85세이상,57789,±,2408,4.17
요단백,여,85세이상,57789,+1,2486,4.3
요단백,여,85세이상,57789,+2,1001,1.73
요단백,여,85세이상,57789,+3,310,0.54
요단백,여,85세이상,57789,+4,93,0.16
흉부X선,남,19세이하,5725,정상A,5695,99.48
흉부X선,남,19세이하,5725,질환의심,29,0.51
흉부X선,남,19세이하,5725,기타,1,0.02
흉부X선,여,19세이하,2930,정상A,2885,98.46
흉부X선,여,19세이하,2930,질환의심,40,1.37
흉부X선,여,19세이하,2930,기타,5,0.17
흉부X선,남,20~24세,232366,정상A,229769,98.88
흉부X선,남,20~24세,232366,질환의심,2198,0.95
흉부X선,남,20~24세,232366,기타,399,0.17
흉부X선,여,20~24세,312333,정상A,307730,98.53
흉부X선,여,20~24세,312333,질환의심,3743,1.2
흉부X선,여,20~24세,312333,기타,860,0.28
흉부X선,남,25~29세,626993,정상A,619215,98.76
흉부X선,남,25~29세,626993,질환의심,6354,1.01
흉부X선,남,25~29세,626993,기타,1424,0.23
흉부X선,여,25~29세,578152,정상A,565000,97.73
흉부X선,여,25~29세,578152,질환의심,7447,1.29
흉부X선,여,25~29세,578152,기타,5705,0.99
흉부X선,남,30~34세,923358,정상A,907206,98.25
흉부X선,남,30~34세,923358,질환의심,12682,1.37
흉부X선,남,30~34세,923358,기타,3470,0.38
흉부X선,여,30~34세,716059,정상A,681726,95.21
흉부X선,여,30~34세,716059,질환의심,10204,1.43
흉부X선,여,30~34세,716059,기타,24129,3.37
흉부X선,남,35~39세,771717,정상A,753380,97.62
흉부X선,남,35~39세,771717,질환의심,13442,1.74
흉부X선,남,35~39세,771717,기타,4895,0.63
흉부X선,여,35~39세,528506,정상A,505861,95.72
흉부X선,여,35~39세,528506,질환의심,8983,1.7
흉부X선,여,35~39세,528506,기타,13662,2.59
흉부X선,남,40~44세,1102929,정상A,1063233,96.4
흉부X선,남,40~44세,1102929,질환의심,27574,2.5
흉부X선,남,40~44세,1102929,기타,12122,1.1
흉부X선,여,40~44세,895673,정상A,865080,96.58
흉부X선,여,40~44세,895673,질환의심,19111,2.13
흉부X선,여,40~44세,895673,기타,11482,1.28
흉부X선,남,45~49세,894030,정상A,849883,95.06
흉부X선,남,45~49세,894030,질환의심,28390,3.18
흉부X선,남,45~49세,894030,기타,15757,1.76
흉부X선,여,45~49세,714482,정상A,683918,95.72
흉부X선,여,45~49세,714482,질환의심,18892,2.64
흉부X선,여,45~49세,714482,기타,11672,1.63
흉부X선,남,50~54세,1122438,정상A,1045126,93.11
흉부X선,남,50~54세,1122438,질환의심,47386,4.22
흉부X선,남,50~54세,1122438,기타,29926,2.67
흉부X선,여,50~54세,1050644,정상A,986320,93.88
흉부X선,여,50~54세,1050644,질환의심,39951,3.8
흉부X선,여,50~54세,1050644,기타,24373,2.32
흉부X선,남,55~59세,882129,정상A,802511,90.97
흉부X선,남,55~59세,882129,질환의심,48821,5.53
흉부X선,남,55~59세,882129,기타,30797,3.49
흉부X선,여,55~59세,869763,정상A,797952,91.74
흉부X선,여,55~59세,869763,질환의심,47231,5.43
흉부X선,여,55~59세,869763,기타,24580,2.83
흉부X선,남,60~64세,951127,정상A,832043,87.48
흉부X선,남,60~64세,951127,질환의심,75495,7.94
흉부X선,남,60~64세,951127,기타,43589,4.58
흉부X선,여,60~64세,1023266,정상A,903946,88.34
흉부X선,여,60~64세,1023266,질환의심,85069,8.31
흉부X선,여,60~64세,1023266,기타,34251,3.35
흉부X선,남,65~69세,626921,정상A,521875,83.24
흉부X선,남,65~69세,626921,질환의심,68960,11
흉부X선,남,65~69세,626921,기타,36086,5.76
흉부X선,여,65~69세,657613,정상A,556017,84.55
흉부X선,여,65~69세,657613,질환의심,77603,11.8
흉부X선,여,65~69세,657613,기타,23993,3.65
흉부X선,남,70~74세,515574,정상A,400236,77.63
흉부X선,남,70~74세,515574,질환의심,79944,15.51
흉부X선,남,70~74세,515574,기타,35394,6.86
흉부X선,여,70~74세,568296,정상A,452200,79.57
흉부X선,여,70~74세,568296,질환의심,94691,16.66
