항목,성별,연령대,평균
신장(cm),남,전체,171.6
신장(cm),남,19세이하,174.2
신장(cm),남,20대,174.2
신장(cm),남,30대,174.5
신장(cm),남,40대,173.9
신장(cm),남,50대,171.1
신장(cm),남,60대,168.3
신장(cm),남,70대,165.8
신장(cm),남,80세이상,163.8
신장(cm),여,전체,158.4
신장(cm),여,19세이하,161.9
신장(cm),여,20대,161.8
신장(cm),여,30대,161.9
신장(cm),여,40대,160.9
신장(cm),여,50대,158.3
신장(cm),여,60대,155.6
신장(cm),여,70대,152.9
신장(cm),여,80세이상,149.3
체중(kg),남,전체,74.7
체중(kg),남,19세이하,75.4
체중(kg),남,20대,76.8
체중(kg),남,30대,79.8
체중(kg),남,40대,78.4
체중(kg),남,50대,73.9
체중(kg),남,60대,69.8
체중(kg),남,70대,66.9
체중(kg),남,80세이상,63.5
체중(kg),여,전체,58.8
체중(kg),여,19세이하,60.3
체중(kg),여,20대,58.6
체중(kg),여,30대,60.2
체중(kg),여,40대,60.2
체중(kg),여,50대,58.9
체중(kg),여,60대,58
체중(kg),여,70대,57.1
체중(kg),여,80세이상,53.7
